"wl","n","k"
0.3,2.112259241,0.210678625
0.305,2.103067312,0.160283606
0.31,2.093875382,0.114981445
0.315,2.084683453,0.059985154
0.32,2.075491524,0.032927564
0.325,2.066299595,0.009016357
0.33,2.057481496,0.002948626
0.335,2.049838922,0.001963293
0.34,2.042196347,0.002094992
0.345,2.034553773,0.002159535
0.35,2.028137698,0.002206173
0.355,2.023687811,0.002252811
0.36,2.019237924,0.00232133
0.365,2.014788037,0.002436737
0.37,2.01087869,0.002552144
0.375,2.008229736,0.00266755
0.38,2.005580782,0.002784716
0.385,2.002931828,0.002915344
0.39,2.000282874,0.003045972
0.395,1.997851678,0.003176599
0.4,1.995425809,0.003307227
0.405,1.99299994,0.003449891
0.41,1.990574071,0.003598576
0.415,1.988299721,0.003747262
0.42,1.986254178,0.003895948
0.425,1.984208635,0.004044634
0.43,1.982163092,0.004210147
0.435,1.980117549,0.004376423
0.44,1.978170151,0.0045427
0.445,1.976302407,0.004708977
0.45,1.974434662,0.004875254
0.455,1.972566918,0.005059384
0.46,1.970699174,0.00524406
0.465,1.968965464,0.005428735
0.47,1.967415909,0.005613411
0.475,1.965866354,0.005798086
0.48,1.964316799,0.005996891
0.485,1.962767244,0.006201991
0.49,1.961217689,0.00640709
0.495,1.959279941,0.00661219
0.5,1.957338016,0.006817289
0.505,1.955396091,0.007025045
0.51,1.953454167,0.007255771
0.515,1.951512242,0.007486497
0.52,1.949685532,0.007717223
0.525,1.948225659,0.007947949
0.53,1.946765787,0.008178675
0.535,1.945305915,0.008417349
0.54,1.943846043,0.008690395
0.545,1.94238617,0.00896344
0.55,1.940881305,0.009236486
0.555,1.939123621,0.009509532
0.56,1.937365937,0.009782577
0.565,1.935608253,0.010055623
0.57,1.933850569,0.010378219
0.575,1.932092885,0.010704815
0.58,1.930335201,0.01103141
0.585,1.928738222,0.011358005
0.59,1.927208103,0.0116846
0.595,1.925677983,0.012011195
0.6,1.924147864,0.01235119
0.605,1.922617744,0.012723061
0.61,1.921087625,0.013094933
0.615,1.919557506,0.013466804
0.62,1.917643111,0.013838676
0.625,1.915677851,0.014210547
0.63,1.913712591,0.014582419
0.635,1.911747331,0.014968172
0.64,1.909782071,0.015390004
0.645,1.90781681,0.015811837
0.65,1.90585155,0.016233669
0.655,1.903943936,0.016655502
0.66,1.902066004,0.017077334
0.665,1.900188071,0.017499167
0.67,1.898310139,0.017920999
0.675,1.896432207,0.018405101
0.68,1.894554274,0.018900345
0.685,1.892676342,0.019395588
0.69,1.890796436,0.019890832
0.695,1.888771294,0.020386076
