# wavelength (nm)	absorption coefficient (/cm)
250	1.80E+06
255	1.86E+06
260	1.93E+06
265	2.02E+06
270	2.14E+06
275	2.25E+06
280	2.33E+06
285	2.36E+06
290	2.30E+06
295	2.07E+06
300	1.80E+06
305	1.61E+06
310	1.47E+06
315	1.37E+06
320	1.29E+06
325	1.23E+06
330	1.18E+06
335	1.13E+06
340	1.09E+06
345	1.06E+06
350	1.04E+06
355	1.03E+06
360	1.02E+06
365	9.28E+05
370	7.28E+05
375	4.96E+05
380	3.27E+05
385	2.25E+05
390	1.64E+05
395	1.27E+05
400	1.04E+05
405	8.56E+04
410	7.48E+04
415	6.29E+04
420	5.35E+04
425	4.70E+04
430	4.07E+04
435	3.60E+04
440	3.23E+04
445	2.97E+04
450	2.69E+04
455	2.40E+04
460	2.18E+04
465	1.95E+04
470	1.90E+04
475	1.72E+04
480	1.58E+04
485	1.49E+04
490	1.39E+04
495	1.34E+04
500	1.23E+04
505	1.14E+04
510	1.09E+04
515	9.79E+03
520	9.66E+03
525	8.72E+03
530	8.34E+03
535	7.94E+03
540	7.03E+03
545	6.97E+03
550	6.48E+03
555	6.16E+03
560	6.03E+03
565	5.97E+03
570	5.29E+03
575	5.14E+03
580	4.80E+03
585	4.63E+03
590	4.33E+03
595	4.39E+03
600	3.92E+03
605	3.98E+03
610	3.60E+03
615	3.48E+03
620	3.45E+03
625	3.27E+03
630	3.28E+03
635	3.06E+03
640	2.92E+03
645	2.85E+03
650	2.83E+03
655	2.72E+03
660	2.62E+03
665	2.52E+03
670	2.43E+03
675	2.34E+03
680	2.25E+03
685	2.17E+03
690	2.09E+03
695	2.01E+03
700	1.93E+03
705	1.86E+03
710	1.79E+03
715	1.72E+03
720	1.65E+03
725	1.58E+03
730	1.52E+03
735	1.46E+03
740	1.40E+03
745	1.35E+03
750	1.29E+03
755	1.24E+03
760	1.19E+03
765	1.14E+03
770	1.09E+03
775	1.05E+03
780	1.00E+03
785	9.59E+02
790	9.18E+02
795	8.78E+02
800	8.39E+02
805	8.02E+02
810	7.66E+02
815	7.31E+02
820	6.98E+02
825	6.66E+02
830	6.34E+02
835	6.04E+02
840	5.75E+02
845	5.47E+02
850	5.20E+02
855	4.95E+02
860	4.70E+02
865	4.46E+02
870	4.22E+02
875	4.00E+02
880	3.79E+02
885	3.58E+02
890	3.38E+02
895	3.19E+02
900	3.01E+02
905	2.83E+02
910	2.66E+02
915	2.50E+02
920	2.35E+02
925	2.20E+02
930	2.04E+02
935	1.92E+02
940	1.79E+02
945	1.67E+02
950	1.55E+02
955	1.43E+02
960	1.32E+02
965	1.22E+02
970	1.12E+02
975	1.03E+02
980	9.44E+01
985	8.62E+01
990	7.86E+01
995	7.11E+01
1000	6.37E+01
1005	5.73E+01
1010	5.11E+01
1015	4.55E+01
1020	4.02E+01
1025	3.52E+01
1030	3.05E+01
1035	2.64E+01
1040	2.26E+01
1045	1.93E+01
1050	1.63E+01
1055	1.38E+01
1060	1.15E+01
1065	9.68E+00
1070	8.36E+00
1075	7.29E+00
1080	6.37E+00
1085	5.55E+00
1090	4.82E+00
1095	4.19E+00
1100	3.63E+00
1105	3.17E+00
1110	2.73E+00
1115	2.36E+00
1120	2.02E+00
1125	1.72E+00
1130	1.46E+00
1135	1.20E+00
1140	1.01E+00
1145	8.26E-01
1150	6.63E-01
1155	5.16E-01
1160	4.00E-01
1165	3.02E-01
1170	2.08E-01
1175	1.24E-01
1180	6.73E-02
1185	3.91E-02
1190	2.73E-02
1195	2.08E-02
1200	1.62E-02
1205	1.24E-02
1210	9.38E-03
1215	7.20E-03
1220	5.53E-03
1225	4.20E-03
1230	3.12E-03
1235	2.34E-03
1240	1.65E-03
1245	1.10E-03
1250	6.84E-04
1255	4.18E-04
1260	2.70E-04
1265	1.92E-04
1270	1.44E-04
1275	1.10E-04
1280	8.49E-05
1285	6.55E-05
1290	5.04E-05
1295	3.94E-05
1300	3.07E-05
1305	2.36E-05
1310	1.81E-05
1315	1.37E-05
1320	9.96E-06
1325	7.17E-06
1330	4.81E-06
1335	3.19E-06
1340	2.08E-06
1345	1.53E-06
1350	1.20E-06
1355	8.55E-07
1360	7.18E-07
1365	5.68E-07
1370	4.43E-07
1375	3.59E-07
1380	2.98E-07
1385	2.29E-07
1390	1.95E-07
1395	1.43E-07
1400	1.17E-07
1405	9.73E-08
1410	6.73E-08
1415	6.84E-08
1420	4.76E-08
1425	3.15E-08
1430	2.25E-08
1435	2.69E-08
1440	1.52E-08
1445	1.38E-08
1450	1.19E-08
