wavelength,PER
0.3,0
0.38,2.00E-04
0.385,3.96E-04
0.39,8.00E-04
0.395,1.55E-03
0.4,2.80E-03
0.405,4.66E-03
0.41,7.40E-03
0.415,1.18E-02
0.42,1.75E-02
0.425,2.27E-02
0.43,2.73E-02
0.435,3.26E-02
0.44,3.79E-02
0.445,4.24E-02
0.45,4.68E-02
0.455,5.21E-02
0.46,6.00E-02
0.465,7.29E-02
0.47,9.10E-02
0.475,1.13E-01
0.48,1.39E-01
0.485,1.70E-01
0.49,2.08E-01
0.495,2.58E-01
0.5,3.23E-01
0.505,4.05E-01
0.51,5.03E-01
0.515,6.08E-01
0.52,7.10E-01
0.525,7.95E-01
0.53,8.62E-01
0.535,9.15E-01
0.54,9.54E-01
0.545,9.80E-01
0.55,9.95E-01
0.555,1.00E+00
0.56,9.95E-01
0.565,9.79E-01
0.57,9.52E-01
0.575,9.16E-01
0.58,8.70E-01
0.585,8.16E-01
0.59,7.57E-01
0.595,6.95E-01
0.6,6.31E-01
0.605,5.67E-01
0.61,5.03E-01
0.615,4.42E-01
0.62,3.81E-01
0.625,3.21E-01
0.63,2.65E-01
0.635,2.17E-01
0.64,1.75E-01
0.645,1.38E-01
0.65,1.07E-01
0.655,8.17E-02
0.66,6.10E-02
0.665,4.43E-02
0.67,3.20E-02
0.675,2.35E-02
0.68,1.70E-02
0.685,1.19E-02
0.69,8.21E-03
0.695,5.77E-03
0.7,4.10E-03
0.705,2.93E-03
0.71,2.09E-03
0.715,1.48E-03
0.72,1.05E-03
0.725,7.40E-04
0.73,5.20E-04
0.735,3.61E-04
0.74,2.49E-04
0.745,1.72E-04
0.75,1.20E-04
0.755,8.46E-05
0.76,6.00E-05
0.765,4.24E-05
0.77,3.00E-05
0.775,2.12E-05
0.78,1.50E-05
0.785,1.06E-05
0.79,7.47E-06
0.795,5.26E-06
0.8,3.70E-06
0.805,2.61E-06
0.81,1.84E-06
0.815,1.30E-06
0.82,9.11E-07
0.825,6.36E-07
2.5,0.00E+00
