wl,n,k
0.31,1.553923347,0.00001191
0.32,,0.000003062
0.33,,0.000001399
0.34,,6.06E-07
0.35,,2.46E-07
0.3529,1.544418816,
0.36,,1.16E-07
0.37,,9.30E-08
0.38,,1.31E-07
0.39,,6.26E-08
0.3958,1.537794371,
0.4,,4.57E-08
0.41,,5.01E-08
0.42,,5.45E-08
0.43,,5.88E-08
0.4387,1.532976444,
0.44,,5.10E-08
0.45,,4.25E-08
0.46,,3.35E-08
0.47,,3.68E-08
0.48,,4.00E-08
0.4816,1.529347097,
0.49,,2.97E-08
0.5,,3.26E-08
0.51,,3.54E-08
0.52,,3.82E-08
0.5245,1.52653023,
0.53,,4.09E-08
0.54,,4.36E-08
0.55,,4.63E-08
0.56,,6.43E-08
0.5674,1.524286299,
0.57,,6.72E-08
0.58,,8.60E-08
0.59,,8.91E-08
0.6,,1.09E-07
0.61,,1.12E-07
0.6103,1.522456865,
0.62,,1.33E-07
0.63,,1.53E-07
0.64,,1.75E-07
0.65,,1.79E-07
0.6532,1.520933742,
0.66,,2.01E-07
0.67,,2.24E-07
0.68,,2.48E-07
0.69,,2.53E-07
0.6961,1.519641015,
0.7,,2.77E-07
0.71,,3.02E-07
0.72,,3.27E-07
0.73,,3.53E-07
0.739,1.518524145,
0.74,,3.80E-07
0.75,,4.07E-07
0.76,,4.34E-07
0.77,,4.63E-07
0.78,,4.92E-07
0.7819,1.517543129,
0.79,,5.21E-07
0.8,,5.51E-07
0.81,,5.82E-07
0.82,,6.13E-07
0.8248,1.516668089,
0.83,,6.45E-07
0.84,,6.77E-07
0.85,,7.10E-07
0.86,,7.19E-07
0.8677,1.515876346,
0.87,,7.51E-07
0.88,,7.88E-07
0.89,,7.98E-07
0.9,,8.33E-07
0.91,,8.43E-07
0.9106,1.515150433,
0.92,,8.79E-07
0.93,,8.90E-07
0.94,,9.00E-07
0.95,,9.38E-07
0.9535,1.514476723,
0.96,,9.48E-07
0.97,,9.59E-07
0.98,,9.98E-07
0.99,,0.000001009
0.9964,1.513844457,
1,,0.00000102
1.039,1.513249144,
1.082,1.512674206,
1.1,,0.000001132
1.125,1.512119704,
1.168,1.511580989,
1.2,,0.00000121
1.211,1.511054227,
1.254,1.510536226,
1.297,1.510024316,
1.3,,0.000001211
1.34,1.509516248,
1.383,1.509010118,
1.4,,0.000001118
1.425,1.508516073,
1.468,1.508009224,
1.5,,9.59E-07
1.511,1.507500133,
1.554,1.506987768,
1.597,1.50647123,
1.6,,8.13E-07
1.64,1.505949739,
1.683,1.505422612,
1.7,,8.30E-07
1.726,1.504889251,
1.769,1.504349128,
1.8,,9.43E-07
1.812,1.503801779,
1.854,1.503259789,
1.897,1.502696989,
1.9,,0.000001117
1.94,1.502125867,
1.983,1.501546132,
2,,0.000001471
2.026,1.500957522,
2.069,1.500359805,
2.1,,0.000001739
2.112,1.499752769,
2.155,1.499136224,
2.198,1.49851,
2.2,,0.000002027
2.241,1.497873941,
2.283,1.497243046,
2.3,,0.000002401
2.326,1.496587146,
2.369,1.495921029,
2.4,,0.000002868
2.412,1.495244589,
2.455,1.49455773,
2.498,1.493860363,
2.5,,0.000003441
2.541,1.493152406,
2.584,1.492433785,
2.6,,0.000005643
2.627,1.491704431,
2.67,1.490964282,
2.7,,0.000009156
2.712,1.490230868,
2.755,1.489469212,
2.798,1.4886966,
2.8,,0.0000856
2.841,1.487912987,
2.884,1.48711833,
2.9,,0.00009745
2.927,1.486312589,
2.97,1.485495728,
3,,0.00009318
3.013,1.484667714,
3.056,1.483828514,
3.099,1.4829781,
3.1,,0.00009489
3.141,1.482136609,
3.184,1.481263947,
3.2,,0.0001025
3.227,1.480379993,
3.27,1.479484726,
3.3,,0.0001128
3.313,1.478578125,
3.356,1.477660169,
3.399,1.476730841,
3.4,,0.000125
3.442,1.475790124,
3.485,1.474838001,
3.5,,0.0001299
3.528,1.473874457,
3.57,1.472922281,
3.6,,0.0001333
3.613,1.47193612,
3.656,1.470938498,
3.699,1.469929402,
3.7,,0.0001319
3.742,1.468908823,
3.785,1.467876749,
3.8,,0.0001282
3.828,1.46683317,
3.871,1.465778077,
3.9,,0.0001242
3.914,1.46471146,
3.957,1.463633313,
3.999,1.462569098,
4,,0.0001267
4.042,1.461468132,
4.085,1.460355611,
4.1,,0.000146
4.128,1.45923153,
4.171,1.458095881,
4.2,,0.0001691
4.214,1.456948658,
4.257,1.455789855,
4.3,1.454619468,0.0002124
4.343,1.45343749,
4.386,1.452243917,
4.4,,0.000281
4.428,1.451066903,
4.471,1.449850395,
4.5,,0.0003657
4.514,1.448622277,
4.557,1.447382547,
4.6,1.4461312,0.001054
