"wl","n","k"
0.3,1.9063,0.006
0.305,1.9051,0.0072
0.31,1.9034,0.0085
0.315,1.9017,0.0101
0.32,1.8998,0.0126
0.325,1.8982,0.0156
0.33,1.8966,0.0189
0.335,1.8954,0.0243
0.34,1.8944,0.0283
0.345,1.8949,0.0342
0.35,1.8966,0.0444
0.355,1.9019,0.0525
0.36,1.9098,0.0582
0.365,1.9216,0.0622
0.37,1.9324,0.0625
0.375,1.9427,0.0598
0.38,1.9494,0.0529
0.385,1.9536,0.046
0.39,1.9563,0.0402
0.395,1.9573,0.0341
0.4,1.957,0.0297
0.405,1.9563,0.0251
0.41,1.9557,0.0214
0.415,1.9547,0.0186
0.42,1.9536,0.0164
0.425,1.9525,0.0146
0.43,1.9515,0.0132
0.435,1.9505,0.0119
0.44,1.9497,0.0105
0.445,1.9489,0.0096
0.45,1.9481,0.0089
0.455,1.9473,0.0082
0.46,1.9466,0.0075
0.465,1.946,0.007
0.47,1.9454,0.0064
0.475,1.9449,0.0061
0.48,1.9444,0.0057
0.485,1.9439,0.0054
0.49,1.9435,0.005
0.495,1.943,0.0047
0.5,1.9427,0.0045
0.505,1.9423,0.0043
0.51,1.942,0.004
0.515,1.9416,0.0038
0.52,1.9413,0.0037
0.525,1.941,0.0035
0.53,1.9408,0.0033
0.535,1.9405,0.0032
0.54,1.9403,0.0031
0.545,1.94,0.003
0.55,1.9398,0.0028
0.555,1.9396,0.0027
0.56,1.9394,0.0026
0.565,1.9392,0.0025
0.57,1.939,0.0024
0.575,1.9389,0.0024
0.58,1.9387,0.0023
0.585,1.9386,0.0022
0.59,1.9384,0.0022
0.595,1.9383,0.0021
0.6,1.9381,0.002
0.605,1.938,0.002
0.61,1.9379,0.0019
0.615,1.9377,0.0019
0.62,1.9376,0.0018
0.625,1.9375,0.0018
0.63,1.9374,0.0017
0.635,1.9373,0.0017
0.64,1.9372,0.0016
0.645,1.9371,0.0016
0.65,1.937,0.0016
0.655,1.9369,0.0015
0.66,1.9368,0.0015
0.665,1.9368,0.0015
0.67,1.9367,0.0014
0.675,1.9366,0.0014
0.68,1.9365,0.0014
0.685,1.9364,0.0014
0.69,1.9364,0.0013
0.695,1.9363,0.0013
0.7,1.9362,0.0013
0.705,1.9362,0.0013
0.71,1.9361,0.0012
0.715,1.936,0.0012
0.72,1.936,0.0012
0.725,1.9359,0.0012
0.73,1.9359,0.0011
0.735,1.9358,0.0011
0.74,1.9358,0.0011
0.745,1.9357,0.0011
0.75,1.9357,0.0011
0.755,1.9356,0.0011
0.76,1.9356,0.001
0.765,1.9355,0.001
0.77,1.9355,0.001
0.775,1.9355,0.001
0.78,1.9354,0.001
0.785,1.9354,0.001
0.79,1.9353,0.001
0.795,1.9353,0.0009
0.8,1.9352,0.0009
0.805,1.9352,0.0009
0.81,1.9352,0.0009
0.815,1.9351,0.0009
0.82,1.9351,0.0009
0.825,1.9351,0.0009
0.83,1.935,0.0009
0.835,1.935,0.0009
0.84,1.935,0.0008
0.845,1.9349,0.0008
0.85,1.9349,0.0008
0.855,1.9349,0.0008
0.86,1.9349,0.0008
0.865,1.9348,0.0008
0.87,1.9348,0.0008
0.875,1.9348,0.0008
0.88,1.9347,0.0008
0.885,1.9347,0.0008
0.89,1.9347,0.0008
0.895,1.9347,0.0008
0.9,1.9347,0.0008
0.905,1.9346,0.0007
0.91,1.9346,0.0007
0.915,1.9346,0.0007
0.92,1.9345,0.0007
0.925,1.9345,0.0007
0.93,1.9345,0.0007
0.935,1.9345,0.0007
