wl,n,k
0.3,1.645,0.8295
0.305,1.6669,0.8727
0.31,1.6888,0.9159
0.315,1.7107,0.9605
0.32,1.7327,1.0163
0.325,1.7546,1.0858
0.33,1.791,1.1455
0.335,1.8288,1.1993
0.34,1.8995,1.2625
0.345,2.0141,1.3115
0.35,2.0985,1.3386
0.355,2.1892,1.3658
0.36,2.3074,1.363
0.365,2.4065,1.3396
0.37,2.4873,1.3094
0.375,2.5525,1.2404
0.38,2.5906,1.1803
0.385,2.6087,1.1152
0.39,2.6267,1.0599
0.395,2.6448,0.9925
0.4,2.6594,0.9276
0.405,2.6551,0.8829
0.41,2.6509,0.8478
0.415,2.6466,0.8122
0.42,2.6423,0.7889
0.425,2.638,0.7679
0.43,2.6371,0.7585
0.435,2.6372,0.7491
0.44,2.6373,0.7397
0.445,2.6375,0.7303
0.45,2.6376,0.7217
0.455,2.6377,0.717
0.46,2.6379,0.7124
0.465,2.638,0.7078
0.47,2.6455,0.7031
0.475,2.66,0.6985
0.48,2.6745,0.6915
0.485,2.689,0.6803
0.49,2.7035,0.669
0.495,2.7158,0.6578
0.5,2.7279,0.641
0.505,2.74,0.6217
0.51,2.7521,0.6008
0.515,2.7642,0.5786
0.52,2.7748,0.5493
0.525,2.7753,0.5186
0.53,2.7759,0.4934
0.535,2.7764,0.469
0.54,2.777,0.446
0.545,2.7756,0.4242
0.55,2.7682,0.4043
0.555,2.7608,0.3845
0.56,2.7534,0.366
0.565,2.746,0.3475
0.57,2.7355,0.3309
0.575,2.7248,0.3152
0.58,2.7141,0.2996
0.585,2.7034,0.2885
0.59,2.6928,0.2779
0.595,2.6821,0.2673
0.6,2.6725,0.2578
0.605,2.6631,0.2516
0.61,2.6536,0.2453
0.615,2.6442,0.2391
0.62,2.6347,0.2328
0.625,2.6253,0.2265
0.63,2.6159,0.2228
0.635,2.6092,0.2199
0.64,2.6031,0.2169
0.645,2.597,0.2139
0.65,2.591,0.211
0.655,2.5849,0.208
0.66,2.5788,0.2052
0.665,2.5727,0.2043
0.67,2.5666,0.2035
0.675,2.5623,0.2026
0.68,2.5625,0.2018
0.685,2.5627,0.2009
0.69,2.563,0.2001
0.695,2.5632,0.1989
0.7,2.5634,0.1971
