"wl","n","k"
0.3,2.3161,0.027
0.305,2.2941,0.0249
0.31,2.2723,0.0232
0.315,2.25,0.0215
0.32,2.2331,0.0201
0.325,2.2169,0.0188
0.33,2.2029,0.0174
0.335,2.1891,0.0163
0.34,2.1776,0.0156
0.345,2.1661,0.015
0.35,2.1558,0.0143
0.355,2.1462,0.0137
0.36,2.1366,0.0132
0.365,2.1283,0.0127
0.37,2.1205,0.0123
0.375,2.1127,0.0122
0.38,2.1054,0.0121
0.385,2.0992,0.0119
0.39,2.093,0.0113
0.395,2.0868,0.0104
0.4,2.0811,0.0095
0.405,2.0755,0.0087
0.41,2.07,0.0087
0.415,2.0645,0.0087
0.42,2.0597,0.0087
0.425,2.0549,0.0087
0.43,2.0501,0.0087
0.435,2.0456,0.0087
0.44,2.0412,0.0087
0.445,2.0369,0.0087
0.45,2.0325,0.0087
0.455,2.0285,0.0087
0.46,2.0246,0.0087
0.465,2.0207,0.0087
0.47,2.0169,0.0087
0.475,2.0132,0.0087
0.48,2.0096,0.0087
0.485,2.006,0.0087
0.49,2.0024,0.0087
0.495,1.9989,0.0088
0.5,1.9954,0.0087
0.505,1.992,0.0087
0.51,1.9888,0.0087
0.515,1.9856,0.0087
0.52,1.9824,0.0087
0.525,1.9792,0.0087
0.53,1.976,0.0088
0.535,1.9727,0.0087
0.54,1.9695,0.0087
0.545,1.9664,0.0087
0.55,1.9634,0.0087
0.555,1.9603,0.0087
0.56,1.9572,0.0087
0.565,1.9541,0.0087
0.57,1.9509,0.0094
0.575,1.9478,0.0104
0.58,1.9448,0.0113
0.585,1.9417,0.012
0.59,1.9387,0.0121
0.595,1.9357,0.0121
0.6,1.9328,0.0122
0.605,1.9299,0.0123
0.61,1.927,0.0124
0.615,1.9239,0.0125
0.62,1.9207,0.0126
0.625,1.9175,0.0126
0.63,1.9144,0.0126
0.635,1.9116,0.0126
0.64,1.9087,0.0126
0.645,1.9058,0.0125
0.65,1.9029,0.0125
0.655,1.8999,0.0125
0.66,1.8969,0.0131
0.665,1.8939,0.0138
0.67,1.8907,0.0144
0.675,1.8876,0.0149
0.68,1.8845,0.015
0.685,1.8814,0.0151
0.69,1.8783,0.0152
0.695,1.8752,0.0152
0.7,1.8722,0.0152
0.705,1.869,0.0152
0.71,1.8659,0.0153
0.715,1.8628,0.0157
0.72,1.8596,0.0161
0.725,1.8564,0.0165
0.73,1.8532,0.0169
0.735,1.85,0.0172
0.74,1.8469,0.0175
0.745,1.8437,0.0178
0.75,1.8406,0.0178
0.755,1.8374,0.0178
0.76,1.8339,0.0178
0.765,1.8304,0.0181
0.77,1.8269,0.0186
0.775,1.8236,0.0191
0.78,1.8204,0.0196
0.785,1.8172,0.0199
0.79,1.814,0.0201
0.795,1.8106,0.0204
0.8,1.8072,0.0209
0.805,1.8038,0.0218
0.81,1.8003,0.0227
0.815,1.7968,0.0236
0.82,1.7932,0.0239
0.825,1.7897,0.0241
0.83,1.7861,0.0243
0.835,1.7825,0.0245
0.84,1.7789,0.0249
0.845,1.7753,0.0254
0.85,1.7717,0.0259
0.855,1.7681,0.0262
0.86,1.7645,0.0265
0.865,1.7609,0.0268
0.87,1.7572,0.027
0.875,1.7535,0.0276
0.88,1.7498,0.0282
