Wvlgth (nm)	Absorption Coefficient (1/cm)
280.0	2.37E+06
280.5	2.37E+06
281.0	2.36E+06
281.5	2.36E+06
282.0	2.35E+06
282.5	2.35E+06
283.0	2.35E+06
283.5	2.34E+06
284.0	2.34E+06
284.5	2.33E+06
285.0	2.33E+06
285.5	2.33E+06
286.0	2.32E+06
286.5	2.32E+06
287.0	2.31E+06
287.5	2.31E+06
288.0	2.31E+06
288.5	2.30E+06
289.0	2.30E+06
289.5	2.29E+06
290.0	2.29E+06
290.5	2.26E+06
291.0	2.24E+06
291.5	2.21E+06
292.0	2.19E+06
292.5	2.16E+06
293.0	2.13E+06
293.5	2.11E+06
294.0	2.08E+06
294.5	2.06E+06
295.0	2.03E+06
295.5	2.00E+06
296.0	1.98E+06
296.5	1.95E+06
297.0	1.93E+06
297.5	1.90E+06
298.0	1.87E+06
298.5	1.85E+06
299.0	1.82E+06
299.5	1.80E+06
300.0	1.77E+06
300.5	1.75E+06
301.0	1.74E+06
301.5	1.72E+06
302.0	1.71E+06
302.5	1.69E+06
303.0	1.68E+06
303.5	1.66E+06
304.0	1.65E+06
304.5	1.63E+06
305.0	1.62E+06
305.5	1.60E+06
306.0	1.58E+06
306.5	1.57E+06
307.0	1.55E+06
307.5	1.54E+06
308.0	1.52E+06
308.5	1.51E+06
309.0	1.49E+06
309.5	1.48E+06
310.0	1.46E+06
310.5	1.45E+06
311.0	1.44E+06
311.5	1.44E+06
312.0	1.43E+06
312.5	1.42E+06
313.0	1.41E+06
313.5	1.40E+06
314.0	1.40E+06
314.5	1.39E+06
315.0	1.38E+06
315.5	1.37E+06
316.0	1.36E+06
316.5	1.36E+06
317.0	1.35E+06
317.5	1.34E+06
318.0	1.33E+06
318.5	1.32E+06
319.0	1.32E+06
319.5	1.31E+06
320.0	1.30E+06
320.5	1.29E+06
321.0	1.29E+06
321.5	1.28E+06
322.0	1.28E+06
322.5	1.27E+06
323.0	1.26E+06
323.5	1.26E+06
324.0	1.25E+06
324.5	1.25E+06
325.0	1.24E+06
325.5	1.23E+06
326.0	1.23E+06
326.5	1.22E+06
327.0	1.22E+06
327.5	1.21E+06
328.0	1.20E+06
328.5	1.20E+06
329.0	1.19E+06
329.5	1.19E+06
330.0	1.18E+06
330.5	1.18E+06
331.0	1.17E+06
331.5	1.17E+06
332.0	1.16E+06
332.5	1.16E+06
333.0	1.16E+06
333.5	1.15E+06
334.0	1.15E+06
334.5	1.14E+06
335.0	1.14E+06
335.5	1.14E+06
336.0	1.13E+06
336.5	1.13E+06
337.0	1.12E+06
337.5	1.12E+06
338.0	1.12E+06
338.5	1.11E+06
339.0	1.11E+06
339.5	1.10E+06
340.0	1.10E+06
340.5	1.10E+06
341.0	1.10E+06
341.5	1.09E+06
342.0	1.09E+06
342.5	1.09E+06
343.0	1.09E+06
343.5	1.09E+06
344.0	1.08E+06
344.5	1.08E+06
345.0	1.08E+06
345.5	1.08E+06
346.0	1.08E+06
346.5	1.07E+06
347.0	1.07E+06
347.5	1.07E+06
348.0	1.07E+06
348.5	1.07E+06
349.0	1.06E+06
349.5	1.06E+06
350.0	1.06E+06
350.5	1.06E+06
351.0	1.06E+06
351.5	1.06E+06
352.0	1.06E+06
352.5	1.06E+06
353.0	1.05E+06
353.5	1.05E+06
354.0	1.05E+06
354.5	1.05E+06
355.0	1.05E+06
355.5	1.05E+06
356.0	1.05E+06
356.5	1.05E+06
357.0	1.05E+06
357.5	1.05E+06
358.0	1.04E+06
358.5	1.04E+06
359.0	1.04E+06
359.5	1.04E+06
360.0	1.04E+06
360.5	1.02E+06
361.0	1.01E+06
361.5	9.95E+05
362.0	9.79E+05
362.5	9.64E+05
363.0	9.49E+05
363.5	9.34E+05
364.0	9.19E+05
364.5	9.04E+05
365.0	8.89E+05
365.5	8.73E+05
366.0	8.58E+05
366.5	8.43E+05
367.0	8.28E+05
367.5	8.13E+05
368.0	7.98E+05
368.5	7.82E+05
369.0	7.67E+05
369.5	7.52E+05
370.0	7.37E+05
370.5	7.16E+05
371.0	6.95E+05
371.5	6.73E+05
372.0	6.52E+05
372.5	6.31E+05
373.0	6.10E+05
373.5	5.89E+05
374.0	5.67E+05
374.5	5.46E+05
375.0	5.25E+05
375.5	5.04E+05
376.0	4.83E+05
376.5	4.61E+05
377.0	4.40E+05
377.5	4.19E+05
378.0	3.98E+05
378.5	3.77E+05
379.0	3.55E+05
379.5	3.34E+05
380.0	3.13E+05
380.5	3.05E+05
381.0	2.96E+05
381.5	2.88E+05
382.0	2.79E+05
382.5	2.71E+05
383.0	2.62E+05
383.5	2.54E+05
384.0	2.45E+05
384.5	2.37E+05
385.0	2.28E+05
385.5	2.20E+05
386.0	2.11E+05
386.5	2.03E+05
387.0	1.94E+05
387.5	1.86E+05
388.0	1.77E+05
