Wvlgth (nm)	Absorption Coefficient (1/cm)
388.5	1.69E+05
389.0	1.60E+05
389.5	1.52E+05
390.0	1.43E+05
390.5	1.41E+05
391.0	1.38E+05
391.5	1.36E+05
392.0	1.33E+05
392.5	1.31E+05
393.0	1.28E+05
393.5	1.26E+05
394.0	1.23E+05
394.5	1.21E+05
395.0	1.18E+05
395.5	1.16E+05
396.0	1.13E+05
396.5	1.11E+05
397.0	1.08E+05
397.5	1.06E+05
398.0	1.03E+05
398.5	1.01E+05
399.0	9.80E+04
399.5	9.55E+04
400.0	9.30E+04
401.0	9.07E+04
402.0	8.83E+04
403.0	8.60E+04
404.0	8.36E+04
405.0	8.13E+04
406.0	7.89E+04
407.0	7.66E+04
408.0	7.42E+04
409.0	7.19E+04
410.0	6.95E+04
411.0	6.78E+04
412.0	6.61E+04
413.0	6.45E+04
414.0	6.28E+04
415.0	6.11E+04
416.0	5.94E+04
417.0	5.77E+04
418.0	5.61E+04
419.0	5.44E+04
420.0	5.27E+04
421.0	5.15E+04
422.0	5.02E+04
423.0	4.90E+04
424.0	4.77E+04
425.0	4.65E+04
426.0	4.52E+04
427.0	4.40E+04
428.0	4.27E+04
429.0	4.15E+04
430.0	4.02E+04
431.0	3.93E+04
432.0	3.83E+04
433.0	3.74E+04
434.0	3.64E+04
435.0	3.55E+04
436.0	3.45E+04
437.0	3.36E+04
438.0	3.26E+04
439.0	3.17E+04
440.0	3.07E+04
441.0	3.00E+04
442.0	2.94E+04
443.0	2.87E+04
444.0	2.81E+04
445.0	2.74E+04
446.0	2.67E+04
447.0	2.61E+04
448.0	2.54E+04
449.0	2.48E+04
450.0	2.41E+04
451.0	2.36E+04
452.0	2.32E+04
453.0	2.27E+04
454.0	2.23E+04
455.0	2.18E+04
456.0	2.13E+04
457.0	2.09E+04
458.0	2.04E+04
459.0	2.00E+04
460.0	1.95E+04
461.0	1.92E+04
462.0	1.89E+04
463.0	1.86E+04
464.0	1.83E+04
465.0	1.81E+04
466.0	1.78E+04
467.0	1.75E+04
468.0	1.72E+04
469.0	1.69E+04
470.0	1.66E+04
471.0	1.64E+04
472.0	1.62E+04
473.0	1.59E+04
474.0	1.57E+04
475.0	1.55E+04
476.0	1.53E+04
477.0	1.51E+04
478.0	1.48E+04
479.0	1.46E+04
480.0	1.44E+04
481.0	1.42E+04
482.0	1.40E+04
483.0	1.39E+04
484.0	1.37E+04
485.0	1.35E+04
486.0	1.33E+04
487.0	1.31E+04
488.0	1.30E+04
489.0	1.28E+04
490.0	1.26E+04
491.0	1.25E+04
492.0	1.23E+04
493.0	1.22E+04
494.0	1.20E+04
495.0	1.19E+04
496.0	1.17E+04
497.0	1.16E+04
498.0	1.14E+04
499.0	1.13E+04
500.0	1.11E+04
501.0	1.10E+04
502.0	1.08E+04
503.0	1.07E+04
504.0	1.05E+04
505.0	1.04E+04
506.0	1.03E+04
507.0	1.01E+04
508.0	9.98E+03
509.0	9.84E+03
510.0	9.70E+03
511.0	9.61E+03
512.0	9.52E+03
513.0	9.43E+03
514.0	9.34E+03
515.0	9.25E+03
516.0	9.16E+03
517.0	9.07E+03
518.0	8.98E+03
519.0	8.89E+03
520.0	8.80E+03
521.0	8.71E+03
522.0	8.61E+03
523.0	8.52E+03
524.0	8.42E+03
525.0	8.33E+03
526.0	8.23E+03
527.0	8.14E+03
528.0	8.04E+03
529.0	7.95E+03
530.0	7.85E+03
531.0	7.77E+03
532.0	7.69E+03
533.0	7.61E+03
534.0	7.53E+03
535.0	7.45E+03
536.0	7.37E+03
537.0	7.29E+03
538.0	7.21E+03
539.0	7.13E+03
540.0	7.05E+03
541.0	6.98E+03
542.0	6.92E+03
543.0	6.85E+03
544.0	6.79E+03
545.0	6.72E+03
546.0	6.65E+03
547.0	6.59E+03
548.0	6.52E+03
549.0	6.46E+03
550.0	6.39E+03
551.0	6.33E+03
552.0	6.27E+03
553.0	6.21E+03
554.0	6.15E+03
555.0	6.09E+03
556.0	6.02E+03
557.0	5.96E+03
558.0	5.90E+03
559.0	5.84E+03
560.0	5.78E+03
561.0	5.73E+03
562.0	5.69E+03
563.0	5.64E+03
564.0	5.60E+03
565.0	5.55E+03
566.0	5.50E+03
567.0	5.46E+03
568.0	5.41E+03
569.0	5.37E+03
570.0	5.32E+03
571.0	5.28E+03
572.0	5.23E+03
573.0	5.19E+03
574.0	5.14E+03
575.0	5.10E+03
576.0	5.06E+03
577.0	5.01E+03
578.0	4.97E+03
579.0	4.92E+03
580.0	4.88E+03
581.0	4.84E+03
582.0	4.80E+03
583.0	4.76E+03
584.0	4.72E+03
585.0	4.69E+03
586.0	4.65E+03
587.0	4.61E+03
588.0	4.57E+03
589.0	4.53E+03
590.0	4.49E+03
591.0	4.46E+03
592.0	4.43E+03
593.0	4.40E+03
594.0	4.36E+03
595.0	4.33E+03
596.0	4.30E+03
597.0	4.27E+03
598.0	4.24E+03
599.0	4.21E+03
600.0	4.18E+03
601.0	4.14E+03
602.0	4.10E+03
603.0	4.06E+03
604.0	4.03E+03
605.0	3.99E+03
606.0	3.95E+03
607.0	3.91E+03
608.0	3.88E+03
609.0	3.84E+03
610.0	3.80E+03
611.0	3.77E+03
612.0	3.74E+03
613.0	3.72E+03
614.0	3.69E+03
615.0	3.66E+03
616.0	3.63E+03
617.0	3.60E+03
618.0	3.58E+03
619.0	3.55E+03
620.0	3.52E+03
621.0	3.50E+03
622.0	3.47E+03
623.0	3.45E+03
624.0	3.42E+03
625.0	3.40E+03
626.0	3.38E+03
627.0	3.35E+03
628.0	3.33E+03
629.0	3.30E+03
630.0	3.28E+03
631.0	3.26E+03
632.0	3.23E+03
633.0	3.21E+03
634.0	3.18E+03
635.0	3.16E+03
636.0	3.13E+03
637.0	3.11E+03
638.0	3.08E+03
639.0	3.06E+03
640.0	3.03E+03
641.0	3.01E+03
642.0	2.98E+03
643.0	2.96E+03
644.0	2.93E+03
645.0	2.91E+03
646.0	2.89E+03
647.0	2.86E+03
648.0	2.84E+03
649.0	2.81E+03
650.0	2.79E+03
651.0	2.77E+03
652.0	2.75E+03
653.0	2.72E+03
654.0	2.70E+03
655.0	2.68E+03
656.0	2.66E+03
657.0	2.64E+03
658.0	2.61E+03
659.0	2.59E+03
660.0	2.57E+03
661.0	2.55E+03
662.0	2.53E+03
663.0	2.52E+03
664.0	2.50E+03
665.0	2.48E+03
666.0	2.46E+03
667.0	2.44E+03
668.0	2.43E+03
669.0	2.41E+03
670.0	2.39E+03
671.0	2.37E+03
672.0	2.35E+03
673.0	2.33E+03
674.0	2.31E+03
675.0	2.30E+03
676.0	2.28E+03
677.0	2.26E+03
678.0	2.24E+03
679.0	2.22E+03
680.0	2.20E+03
681.0	2.18E+03
682.0	2.17E+03
683.0	2.15E+03
684.0	2.14E+03
685.0	2.12E+03
686.0	2.10E+03
687.0	2.09E+03
688.0	2.07E+03
689.0	2.06E+03
690.0	2.04E+03
691.0	2.03E+03
692.0	2.01E+03
693.0	2.00E+03
694.0	1.98E+03
695.0	1.97E+03
696.0	1.95E+03
697.0	1.94E+03
698.0	1.92E+03
699.0	1.91E+03
700.0	1.89E+03
701.0	1.88E+03
702.0	1.87E+03
703.0	1.86E+03
704.0	1.85E+03
705.0	1.84E+03
706.0	1.82E+03
707.0	1.81E+03
708.0	1.80E+03
709.0	1.79E+03
710.0	1.78E+03
711.0	1.77E+03
712.0	1.76E+03
713.0	1.75E+03
714.0	1.74E+03
715.0	1.73E+03
716.0	1.72E+03
717.0	1.71E+03
718.0	1.70E+03
719.0	1.69E+03
720.0	1.68E+03
721.0	1.67E+03
722.0	1.65E+03
723.0	1.64E+03
724.0	1.62E+03
725.0	1.61E+03
726.0	1.60E+03
727.0	1.58E+03
728.0	1.57E+03
729.0	1.55E+03
730.0	1.54E+03
731.0	1.53E+03
732.0	1.52E+03
733.0	1.50E+03
734.0	1.49E+03
735.0	1.48E+03
736.0	1.47E+03
737.0	1.46E+03
738.0	1.44E+03
739.0	1.43E+03
740.0	1.42E+03
741.0	1.41E+03
742.0	1.40E+03
743.0	1.39E+03
744.0	1.38E+03
745.0	1.37E+03
746.0	1.35E+03
747.0	1.34E+03
748.0	1.33E+03
749.0	1.32E+03
750.0	1.31E+03
751.0	1.30E+03
752.0	1.29E+03
753.0	1.27E+03
754.0	1.26E+03
755.0	1.25E+03
756.0	1.24E+03
757.0	1.23E+03
758.0	1.21E+03
759.0	1.20E+03
760.0	1.19E+03
761.0	1.18E+03
762.0	1.17E+03
763.0	1.16E+03
764.0	1.15E+03
765.0	1.15E+03
766.0	1.14E+03
767.0	1.13E+03
768.0	1.12E+03
769.0	1.11E+03
770.0	1.10E+03
771.0	1.09E+03
772.0	1.09E+03
773.0	1.08E+03
774.0	1.07E+03
775.0	1.07E+03
776.0	1.06E+03
777.0	1.05E+03
778.0	1.04E+03
779.0	1.04E+03
780.0	1.03E+03
781.0	1.02E+03
782.0	1.01E+03
783.0	9.99E+02
784.0	9.89E+02
785.0	9.79E+02
786.0	9.69E+02
787.0	9.59E+02
788.0	9.48E+02
789.0	9.38E+02
790.0	9.28E+02
791.0	9.20E+02
792.0	9.12E+02
793.0	9.05E+02
794.0	8.97E+02
795.0	8.89E+02
796.0	8.81E+02
797.0	8.73E+02
798.0	8.66E+02
799.0	8.58E+02
800.0	8.50E+02
801.0	8.43E+02
802.0	8.35E+02
803.0	8.28E+02
804.0	8.20E+02
805.0	8.13E+02
806.0	8.05E+02
807.0	7.98E+02
808.0	7.90E+02
809.0	7.83E+02
810.0	7.75E+02
811.0	7.68E+02
812.0	7.61E+02
813.0	7.55E+02
814.0	7.48E+02
815.0	7.41E+02
816.0	7.34E+02
817.0	7.27E+02
818.0	7.21E+02
819.0	7.14E+02
820.0	7.07E+02
821.0	7.01E+02
822.0	6.95E+02
823.0	6.89E+02
824.0	6.83E+02
825.0	6.77E+02
826.0	6.71E+02
827.0	6.65E+02
828.0	6.59E+02
829.0	6.53E+02
830.0	6.47E+02
831.0	6.41E+02
832.0	6.36E+02
833.0	6.30E+02
834.0	6.24E+02
835.0	6.19E+02
836.0	6.13E+02
837.0	6.07E+02
838.0	6.01E+02
839.0	5.96E+02
840.0	5.90E+02
841.0	5.84E+02
842.0	5.79E+02
843.0	5.73E+02
844.0	5.68E+02
845.0	5.62E+02
846.0	5.56E+02
847.0	5.51E+02
848.0	5.45E+02
849.0	5.40E+02
850.0	5.34E+02
851.0	5.29E+02
852.0	5.23E+02
853.0	5.18E+02
854.0	5.12E+02
855.0	5.07E+02
856.0	5.01E+02
857.0	4.96E+02
858.0	4.90E+02
859.0	4.85E+02
860.0	4.79E+02
861.0	4.74E+02
862.0	4.69E+02
863.0	4.65E+02
864.0	4.60E+02
865.0	4.55E+02
866.0	4.50E+02
867.0	4.45E+02
868.0	4.41E+02
869.0	4.36E+02
870.0	4.31E+02
871.0	4.26E+02
872.0	4.21E+02
873.0	4.17E+02
874.0	4.12E+02
875.0	4.07E+02
876.0	4.02E+02
877.0	3.97E+02
878.0	3.93E+02
879.0	3.88E+02
880.0	3.83E+02
881.0	3.79E+02
882.0	3.75E+02
883.0	3.71E+02
884.0	3.67E+02
885.0	3.63E+02
886.0	3.59E+02
887.0	3.55E+02
888.0	3.51E+02
889.0	3.47E+02
890.0	3.43E+02
891.0	3.39E+02
892.0	3.35E+02
893.0	3.31E+02
894.0	3.27E+02
895.0	3.23E+02
896.0	3.19E+02
897.0	3.15E+02
898.0	3.11E+02
899.0	3.07E+02
900.0	3.03E+02
901.0	3.00E+02
902.0	2.97E+02
903.0	2.93E+02
904.0	2.90E+02
905.0	2.87E+02
906.0	2.84E+02
907.0	2.81E+02
908.0	2.77E+02
909.0	2.74E+02
910.0	2.71E+02
911.0	2.68E+02
912.0	2.65E+02
913.0	2.62E+02
914.0	2.59E+02
915.0	2.56E+02
916.0	2.52E+02
917.0	2.49E+02
918.0	2.46E+02
919.0	2.43E+02
920.0	2.40E+02
921.0	2.37E+02
922.0	2.34E+02
923.0	2.31E+02
924.0	2.28E+02
925.0	2.25E+02
926.0	2.21E+02
927.0	2.18E+02
928.0	2.15E+02
929.0	2.12E+02
930.0	2.09E+02
931.0	2.06E+02
932.0	2.04E+02
933.0	2.01E+02
934.0	1.99E+02
935.0	1.96E+02
936.0	1.93E+02
937.0	1.91E+02
938.0	1.88E+02
939.0	1.86E+02
940.0	1.83E+02
941.0	1.80E+02
942.0	1.78E+02
943.0	1.75E+02
944.0	1.72E+02
945.0	1.70E+02
946.0	1.67E+02
947.0	1.64E+02
948.0	1.61E+02
949.0	1.59E+02
950.0	1.56E+02
951.0	1.54E+02
952.0	1.52E+02
953.0	1.49E+02
954.0	1.47E+02
955.0	1.45E+02
956.0	1.43E+02
957.0	1.41E+02
958.0	1.38E+02
959.0	1.36E+02
960.0	1.34E+02
961.0	1.32E+02
962.0	1.30E+02
963.0	1.28E+02
964.0	1.26E+02
965.0	1.24E+02
966.0	1.21E+02
967.0	1.19E+02
968.0	1.17E+02
969.0	1.15E+02
970.0	1.13E+02
971.0	1.11E+02
972.0	1.10E+02
973.0	1.08E+02
974.0	1.06E+02
975.0	1.05E+02
976.0	1.03E+02
977.0	1.01E+02
978.0	9.94E+01
979.0	9.77E+01
980.0	9.60E+01
981.0	9.43E+01
982.0	9.26E+01
983.0	9.09E+01
984.0	8.92E+01
985.0	8.75E+01
986.0	8.58E+01
987.0	8.41E+01
988.0	8.24E+01
989.0	8.07E+01
990.0	7.90E+01
991.0	7.75E+01
992.0	7.60E+01
993.0	7.45E+01
994.0	7.30E+01
995.0	7.15E+01
996.0	7.00E+01
997.0	6.85E+01
998.0	6.70E+01
999.0	6.55E+01
1000.0	6.40E+01
1001.0	6.27E+01
1002.0	6.14E+01
1003.0	6.01E+01
1004.0	5.88E+01
1005.0	5.76E+01
1006.0	5.63E+01
1007.0	5.50E+01
1008.0	5.37E+01
1009.0	5.24E+01
1010.0	5.11E+01
1011.0	5.00E+01
1012.0	4.89E+01
1013.0	4.77E+01
1014.0	4.66E+01
1015.0	4.55E+01
1016.0	4.44E+01
1017.0	4.33E+01
1018.0	4.21E+01
1019.0	4.10E+01
1020.0	3.99E+01
1021.0	3.89E+01
1022.0	3.80E+01
1023.0	3.70E+01
1024.0	3.60E+01
1025.0	3.51E+01
1026.0	3.41E+01
1027.0	3.31E+01
1028.0	3.21E+01
1029.0	3.12E+01
1030.0	3.02E+01
1031.0	2.94E+01
1032.0	2.87E+01
1033.0	2.79E+01
1034.0	2.72E+01
1035.0	2.64E+01
1036.0	2.56E+01
1037.0	2.49E+01
1038.0	2.41E+01
1039.0	2.34E+01
1040.0	2.26E+01
1041.0	2.20E+01
1042.0	2.13E+01
1043.0	2.07E+01
1044.0	2.01E+01
1045.0	1.95E+01
1046.0	1.88E+01
1047.0	1.82E+01
1048.0	1.76E+01
1049.0	1.69E+01
1050.0	1.63E+01
1051.0	1.58E+01
1052.0	1.53E+01
1053.0	1.47E+01
1054.0	1.42E+01
1055.0	1.37E+01
1056.0	1.32E+01
1057.0	1.27E+01
1058.0	1.21E+01
1059.0	1.16E+01
1060.0	1.11E+01
1061.0	1.08E+01
1062.0	1.05E+01
1063.0	1.02E+01
1064.0	9.86E+00
1065.0	9.55E+00
1066.0	9.24E+00
1067.0	8.93E+00
1068.0	8.62E+00
1069.0	8.31E+00
1070.0	8.00E+00
1071.0	7.82E+00
1072.0	7.64E+00
1073.0	7.46E+00
1074.0	7.28E+00
1075.0	7.10E+00
1076.0	6.92E+00
1077.0	6.74E+00
1078.0	6.56E+00
1079.0	6.38E+00
1080.0	6.20E+00
1081.0	6.05E+00
1082.0	5.90E+00
1083.0	5.75E+00
1084.0	5.60E+00
1085.0	5.45E+00
1086.0	5.30E+00
1087.0	5.15E+00
1088.0	5.00E+00
1089.0	4.85E+00
1090.0	4.70E+00
1091.0	4.58E+00
1092.0	4.46E+00
1093.0	4.34E+00
1094.0	4.22E+00
1095.0	4.10E+00
1096.0	3.98E+00
1097.0	3.86E+00
1098.0	3.74E+00
1099.0	3.62E+00
1100.0	3.50E+00
1101.0	3.42E+00
1102.0	3.34E+00
1103.0	3.26E+00
1104.0	3.18E+00
1105.0	3.10E+00
1106.0	3.02E+00
1107.0	2.94E+00
1108.0	2.86E+00
1109.0	2.78E+00
1110.0	2.70E+00
1111.0	2.63E+00
1112.0	2.56E+00
1113.0	2.49E+00
1114.0	2.42E+00
1115.0	2.35E+00
1116.0	2.28E+00
1117.0	2.21E+00
1118.0	2.14E+00
1119.0	2.07E+00
1120.0	2.00E+00
1121.0	1.95E+00
1122.0	1.90E+00
1123.0	1.85E+00
1124.0	1.80E+00
1125.0	1.75E+00
1126.0	1.70E+00
1127.0	1.65E+00
1128.0	1.60E+00
1129.0	1.55E+00
1130.0	1.50E+00
1131.0	1.45E+00
1132.0	1.40E+00
1133.0	1.35E+00
1134.0	1.30E+00
1135.0	1.25E+00
1136.0	1.20E+00
1137.0	1.15E+00
1138.0	1.10E+00
1139.0	1.05E+00
1140.0	1.00E+00
1141.0	9.68E-01
1142.0	9.36E-01
1143.0	9.04E-01
1144.0	8.72E-01
1145.0	8.40E-01
1146.0	8.08E-01
1147.0	7.76E-01
1148.0	7.44E-01
1149.0	7.12E-01
1150.0	6.80E-01
1151.0	6.54E-01
1152.0	6.28E-01
1153.0	6.02E-01
1154.0	5.76E-01
1155.0	5.50E-01
1156.0	5.24E-01
1157.0	4.98E-01
1158.0	4.72E-01
1159.0	4.46E-01
1160.0	4.20E-01
1161.0	4.00E-01
1162.0	3.80E-01
1163.0	3.60E-01
1164.0	3.40E-01
1165.0	3.20E-01
1166.0	3.00E-01
1167.0	2.80E-01
1168.0	2.60E-01
1169.0	2.40E-01
1170.0	2.20E-01
1171.0	2.04E-01
1172.0	1.89E-01
1173.0	1.74E-01
1174.0	1.58E-01
1175.0	1.43E-01
1176.0	1.27E-01
1177.0	1.11E-01
1178.0	9.60E-02
1179.0	8.05E-02
1180.0	6.50E-02
1181.0	6.21E-02
1182.0	5.92E-02
1183.0	5.63E-02
1184.0	5.34E-02
1185.0	5.05E-02
1186.0	4.76E-02
1187.0	4.47E-02
1188.0	4.18E-02
1189.0	3.89E-02
1190.0	3.60E-02
1191.0	3.46E-02
1192.0	3.32E-02
1193.0	3.18E-02
1194.0	3.04E-02
1195.0	2.90E-02
1196.0	2.76E-02
1197.0	2.62E-02
1198.0	2.48E-02
1199.0	2.34E-02
1200.0	2.20E-02
1201.0	2.11E-02
1202.0	2.02E-02
1203.0	1.93E-02
1204.0	1.84E-02
1205.0	1.75E-02
1206.0	1.66E-02
1207.0	1.57E-02
1208.0	1.48E-02
1209.0	1.39E-02
1210.0	1.30E-02
1211.0	1.25E-02
1212.0	1.20E-02
1213.0	1.16E-02
1214.0	1.11E-02
1215.0	1.06E-02
1216.0	1.01E-02
1217.0	9.64E-03
1218.0	9.16E-03
1219.0	8.68E-03
1220.0	8.20E-03
1221.0	7.85E-03
1222.0	7.50E-03
1223.0	7.15E-03
1224.0	6.80E-03
1225.0	6.45E-03
1226.0	6.10E-03
1227.0	5.75E-03
1228.0	5.40E-03
1229.0	5.05E-03
1230.0	4.70E-03
1231.0	4.47E-03
1232.0	4.24E-03
1233.0	4.01E-03
1234.0	3.78E-03
1235.0	3.55E-03
1236.0	3.32E-03
1237.0	3.09E-03
1238.0	2.86E-03
1239.0	2.63E-03
1240.0	2.40E-03
1241.0	2.26E-03
1242.0	2.12E-03
1243.0	1.98E-03
1244.0	1.84E-03
1245.0	1.70E-03
1246.0	1.56E-03
1247.0	1.42E-03
1248.0	1.28E-03
1249.0	1.14E-03
1250.0	1.00E-03
1251.0	9.36E-04
1252.0	8.72E-04
1253.0	8.08E-04
1254.0	7.44E-04
1255.0	6.80E-04
1256.0	6.16E-04
1257.0	5.52E-04
1258.0	4.88E-04
1259.0	4.24E-04
1260.0	3.60E-04
1261.0	3.44E-04
1262.0	3.28E-04
1263.0	3.12E-04
1264.0	2.96E-04
1265.0	2.80E-04
1266.0	2.64E-04
1267.0	2.48E-04
1268.0	2.32E-04
1269.0	2.16E-04
1270.0	2.00E-04
1271.0	1.92E-04
1272.0	1.84E-04
1273.0	1.76E-04
1274.0	1.68E-04
1275.0	1.60E-04
1276.0	1.52E-04
1277.0	1.44E-04
1278.0	1.36E-04
1279.0	1.28E-04
1280.0	1.20E-04
1281.0	1.15E-04
1282.0	1.10E-04
1283.0	1.05E-04
1284.0	1.00E-04
1285.0	9.55E-05
1286.0	9.06E-05
1287.0	8.57E-05
1288.0	8.08E-05
1289.0	7.59E-05
1290.0	7.10E-05
1291.0	6.84E-05
1292.0	6.58E-05
1293.0	6.32E-05
1294.0	6.06E-05
1295.0	5.80E-05
1296.0	5.54E-05
1297.0	5.28E-05
1298.0	5.02E-05
1299.0	4.76E-05
1300.0	4.50E-05
1301.0	4.32E-05
1302.0	4.14E-05
1303.0	3.96E-05
1304.0	3.78E-05
1305.0	3.60E-05
1306.0	3.42E-05
1307.0	3.24E-05
1308.0	3.06E-05
1309.0	2.88E-05
1310.0	2.70E-05
1311.0	2.59E-05
1312.0	2.48E-05
1313.0	2.37E-05
1314.0	2.26E-05
1315.0	2.15E-05
1316.0	2.04E-05
1317.0	1.93E-05
1318.0	1.82E-05
1319.0	1.71E-05
1320.0	1.60E-05
1321.0	1.52E-05
1322.0	1.44E-05
1323.0	1.36E-05
1324.0	1.28E-05
1325.0	1.20E-05
1326.0	1.12E-05
1327.0	1.04E-05
1328.0	9.60E-06
1329.0	8.80E-06
1330.0	8.00E-06
1331.0	7.55E-06
1332.0	7.10E-06
1333.0	6.65E-06
1334.0	6.20E-06
1335.0	5.75E-06
1336.0	5.30E-06
1337.0	4.85E-06
1338.0	4.40E-06
1339.0	3.95E-06
1340.0	3.50E-06
1341.0	3.32E-06
1342.0	3.14E-06
1343.0	2.96E-06
1344.0	2.78E-06
1345.0	2.60E-06
1346.0	2.42E-06
1347.0	2.24E-06
1348.0	2.06E-06
1349.0	1.88E-06
1350.0	1.70E-06
1351.0	1.63E-06
1352.0	1.55E-06
1353.0	1.48E-06
1354.0	1.40E-06
1355.0	1.33E-06
1356.0	1.25E-06
1357.0	1.18E-06
1358.0	1.10E-06
1359.0	1.03E-06
1360.0	9.50E-07
1361.0	9.15E-07
1362.0	8.80E-07
1363.0	8.45E-07
1364.0	8.10E-07
1365.0	7.75E-07
1366.0	7.40E-07
1367.0	7.05E-07
1368.0	6.70E-07
1369.0	6.35E-07
1370.0	6.00E-07
1371.0	5.78E-07
1372.0	5.56E-07
1373.0	5.34E-07
1374.0	5.12E-07
1375.0	4.90E-07
1376.0	4.68E-07
1377.0	4.46E-07
1378.0	4.24E-07
1379.0	4.02E-07
1380.0	3.80E-07
1381.0	3.65E-07
1382.0	3.50E-07
1383.0	3.35E-07
1384.0	3.20E-07
1385.0	3.05E-07
1386.0	2.90E-07
1387.0	2.75E-07
1388.0	2.60E-07
1389.0	2.45E-07
1390.0	2.30E-07
1391.0	2.21E-07
