"wl","n","k"
0.3,1.556138855,0.00002074
0.305,1.555031101,0.00001632
0.31,1.553923347,0.0000119
0.315,1.552815593,7.48e-6
0.32,1.551707839,3.06e-6
0.325,1.550600084,2.23e-6
0.33,1.54949233,1.4e-6
0.335,1.548384576,1.003e-6
0.34,1.547276822,6.06e-7
0.345,1.546169068,4.26e-7
0.35,1.545061313,2.46e-7
0.355,1.544094542,1.81e-7
0.36,1.543322463,1.16e-7
0.365,1.542550383,1.05e-7
0.37,1.541778303,9.3e-8
0.375,1.541006223,1.12e-7
0.38,1.540234143,1.31e-7
0.385,1.539462063,9.7e-8
0.39,1.538689984,6.3e-8
0.395,1.537917904,5.4e-8
0.4,1.537322686,4.6e-8
0.405,1.536761156,4.8e-8
0.41,1.536199626,5.e-8
0.415,1.535638096,5.2e-8
0.42,1.535076566,5.4e-8
0.425,1.534515036,5.7e-8
0.43,1.533953506,5.9e-8
0.435,1.533391976,5.5e-8
0.44,1.532866464,5.1e-8
0.445,1.532443463,4.7e-8
0.45,1.532020462,4.3e-8
0.455,1.531597461,3.8e-8
0.46,1.531174461,3.4e-8
0.465,1.53075146,3.5e-8
0.47,1.530328459,3.7e-8
0.475,1.529905458,3.8e-8
0.48,1.529482457,4.e-8
0.485,1.529123849,3.5e-8
0.49,1.528795543,3.e-8
0.495,1.528467236,3.1e-8
0.5,1.52813893,3.3e-8
0.505,1.527810624,3.4e-8
0.51,1.527482318,3.5e-8
0.515,1.527154012,3.7e-8
0.52,1.526825706,3.8e-8
0.525,1.526504077,4.e-8
0.53,1.526242547,4.1e-8
0.535,1.525981016,4.2e-8
0.54,1.525719486,4.4e-8
0.545,1.525457955,4.5e-8
0.55,1.525196425,4.6e-8
0.555,1.524934894,5.5e-8
0.56,1.524673364,6.4e-8
0.565,1.524411834,6.6e-8
0.57,1.524175424,6.7e-8
0.575,1.523962203,7.7e-8
0.58,1.523748983,8.6e-8
0.585,1.523535762,8.8e-8
0.59,1.523322541,8.9e-8
0.595,1.52310932,9.9e-8
0.6,1.5228961,1.09e-7
0.605,1.522682879,1.1e-7
0.61,1.522469658,1.12e-7
0.615,1.522289996,1.22e-7
0.62,1.522112476,1.33e-7
0.625,1.521934956,1.43e-7
0.63,1.521757436,1.53e-7
0.635,1.521579915,1.64e-7
0.64,1.521402395,1.75e-7
0.645,1.521224875,1.77e-7
0.65,1.521047355,1.79e-7
0.655,1.520879502,1.9e-7
0.66,1.520728834,2.01e-7
0.665,1.520578167,2.13e-7
0.67,1.520427499,2.24e-7
0.675,1.520276832,2.36e-7
