wl,n,k
0.3,1.906319102,0.005361874
0.305,1.905110066,0.006471443
0.31,1.903430774,0.00782037
0.315,1.9017016,0.009403234
0.32,1.899838809,0.011896034
0.325,1.898166882,0.014876732
0.33,1.896586655,0.018244025
0.335,1.895391552,0.023568672
0.34,1.894373851,0.027610194
0.345,1.894850975,0.033545489
0.35,1.896595715,0.04372415
0.355,1.901903398,0.051798225
0.36,1.909752657,0.057475424
0.365,1.921595018,0.061504406
0.37,1.932427006,0.061781591
0.375,1.942699459,0.059099299
0.38,1.949360587,0.052215108
0.385,1.953621087,0.045321952
0.39,1.956270818,0.039539723
0.395,1.957278796,0.033457263
0.4,1.957003309,0.029057411
0.405,1.956334539,0.024448778
0.41,1.955665769,0.020665462
0.415,1.95471797,0.017923385
0.42,1.953635308,0.015681609
0.425,1.952489026,0.013937088
0.43,1.951460071,0.01252097
0.435,1.950516704,0.011170533
0.44,1.949722934,0.009850224
0.445,1.94888422,0.008913715
0.45,1.948060536,0.008215639
0.455,1.947276814,0.007528897
0.46,1.946613751,0.006860591
0.465,1.945988965,0.00627561
0.47,1.945426617,0.005760199
0.475,1.944875789,0.005373195
0.48,1.944387757,0.005005044
0.485,1.943904377,0.004664697
0.49,1.943464296,0.004347875
0.495,1.943024215,0.004031053
0.5,1.942655456,0.003796742
0.505,1.942291893,0.003573846
0.51,1.941950783,0.003350951
0.515,1.941638947,0.003162298
0.52,1.94132711,0.002987233
0.525,1.941031149,0.002812168
0.53,1.940778117,0.002640036
0.535,1.940525085,0.00251927
0.54,1.940272053,0.002398503
0.545,1.940042968,0.002277736
0.55,1.93982944,0.002162476
0.555,1.939615911,0.002055752
0.56,1.939402382,0.001949028
0.565,1.939223065,0.001842304
0.57,1.939045836,0.001760189
0.575,1.938868607,0.001687168
0.58,1.938699712,0.001614146
0.585,1.938552376,0.001541955
0.59,1.938405041,0.001481104
0.595,1.938257706,0.001420252
0.6,1.938119564,0.001359401
0.605,1.937987176,0.001300071
0.61,1.937854788,0.001242965
0.615,1.9377224,0.001185858
0.62,1.93761134,0.001128752
0.625,1.937501373,0.00108419
0.63,1.937391405,0.001043935
0.635,1.937285429,0.001003679
0.64,1.937189341,0.000963578
0.645,1.937093253,0.000925195
0.65,1.936997165,0.000886812
0.655,1.936911067,0.000848429
0.66,1.936830994,0.000812409
0.665,1.936750921,0.000779643
0.67,1.936670847,0.000746877
0.675,1.936591799,0.00071411
0.68,1.936512793,0.000688447
0.685,1.936433788,0.000665043
0.69,1.936358262,0.000641638
0.695,1.936291001,0.000618053
0.7,1.936223739,0.000592776
0.705,1.936156477,0.000567499
0.71,1.936095294,0.000542222
0.715,1.936037641,0.000519796
0.72,1.935979988,0.000501073
0.725,1.935922335,0.00048235
0.73,1.935876061,0.000463626
0.735,1.935830153,0.000444903
0.74,1.935784244,0.000426179
0.745,1.935735078,0.000407456
0.75,1.935678492,0.000389252
0.755,1.935621907,0.00037521
0.76,1.935565322,0.000361167
0.765,1.935523118,0.000347124
0.77,1.935488953,0.000333081
0.775,1.935454788,0.000319039
0.78,1.935420624,0.000304996
0.785,1.935373934,0.000290953
0.79,1.935326957,0.0002747
0.795,1.935279981,0.000257849
0.8,1.935236356,0.000240997
0.805,1.935200056,0.000225555
0.81,1.935163756,0.000219938
0.815,1.935127457,0.000214321
0.82,1.935096016,0.000208704
0.825,1.935067189,0.000198748
0.83,1.935038363,0.000183769
0.835,1.935009536,0.00016879
0.84,1.93497755,0.000153812
0.845,1.934945521,0.000144836
0.85,1.934913491,0.000137347
0.855,1.934882496,0.000129858
0.86,1.934853669,0.000121584
0.865,1.934824843,0.000108477
0.87,1.934796017,0.000095371
0.875,1.934771412,8.2264E-05
0.88,1.934748991,7.542E-05
0.885,1.934726571,7.542E-05
0.89,1.93470415,7.542E-05
0.895,1.934678542,7.542E-05
0.9,1.934652918,6.4726E-05
0.905,1.934627295,5.162E-05
0.91,1.934599547,0.000038513
0.915,1.934567518,0.000026272
0.92,1.934535489,1.8782E-05
0.925,1.934503459,0.000011293
0.93,1.934482837,3.804E-06
0.935,1.93446789,0
0.94,1.934452943,0
0.945,1.934437962,0
0.95,1.934414474,0
0.955,1.934390986,0
0.96,1.934367498,0
0.965,1.934346553,0
0.97,1.934330538,0
0.975,1.934314523,0
0.98,1.934298508,0
0.985,1.934283216,0
0.99,1.934268269,0
0.995,1.934253322,0
1,1.934238361,0
1.005,1.934222347,0
1.01,1.934206332,0
1.015,1.934190318,0
1.02,1.934176539,0
1.025,1.934166931,0
1.03,1.934157322,0
1.035,1.934147713,0
1.04,1.934135177,0
1.045,1.934121298,0
1.05,1.934107418,0
1.055,1.9340937,0
1.06,1.934087295,0
1.065,1.934080889,0
1.07,1.934074483,0
1.075,1.934064256,0
1.08,1.934047174,0
1.085,1.934030091,0
1.09,1.934013009,0
1.095,1.934006303,0
1.1,1.934004167,0
1.105,1.934002032,0
1.11,1.933999312,0
1.115,1.933977959,0
1.12,1.933956606,0
1.125,1.933935253,0
1.13,1.93392173,0
1.135,1.93392173,0
1.14,1.93392173,0
1.145,1.93392173,0
1.15,1.933914225,0
1.155,1.933903549,0
1.16,1.933892872,0
1.165,1.933881651,0
1.17,1.933857096,0
1.175,1.93383254,0
1.18,1.933807984,0
1.185,1.93379305,0
1.19,1.933794117,0
1.195,1.933795185,0
1.2,1.933796252,0
1.205,1.93379428,0
1.21,1.933791078,0
1.215,1.933787875,0
1.22,1.933783852,0
1.225,1.933763566,0
1.23,1.933743281,0
1.235,1.933722996,0
1.24,1.933710096,0
1.245,1.933709028,0
1.25,1.93370796,0
1.255,1.933706892,0
1.26,1.933706594,0
1.265,1.933706594,0
1.27,1.933706594,0
1.275,1.933705927,0
1.28,1.933694183,0
1.285,1.933682439,0
1.29,1.933670694,0
1.295,1.93365895,0
1.3,1.933647206,0
1.305,1.933635462,0
1.31,1.933623718,0
1.315,1.933618983,0
1.32,1.933616847,0
1.325,1.933614712,0
1.33,1.933612857,0
1.335,1.933614992,0
1.34,1.933617128,0
1.345,1.933619263,0
1.35,1.933620111,0
1.355,1.933619043,0
1.36,1.933617975,0
1.365,1.933616908,0
1.37,1.933593773,0
1.375,1.933562812,0
1.38,1.93353185,0
1.385,1.93350367,0
1.39,1.933510075,0
1.395,1.933516481,0
1.4,1.933522887,0
1.405,1.933527539,0
1.41,1.933529674,0
1.415,1.933531809,0
1.42,1.933533945,0
1.425,1.933534485,0
1.43,1.933534485,0
1.435,1.933534485,0
1.44,1.933534218,0
1.445,1.933531016,0
1.45,1.933527813,0
1.455,1.93352461,0
1.46,1.933520064,0
1.465,1.933513658,0
1.47,1.933507252,0
1.475,1.933500846,0
1.48,1.933462972,0
1.485,1.933414928,0
1.49,1.933366884,0
1.495,1.933323163,0
1.5,1.933322095,0
1.505,1.933321027,0
1.51,1.933319959,0
1.515,1.933319349,0
1.52,1.933319349,0
1.525,1.933319349,0
1.53,1.933319349,0
1.535,1.933319349,0
1.54,1.933319349,0
1.545,1.933319349,0
1.55,1.933319349,0
1.555,1.933319349,0
1.56,1.933319349,0
1.565,1.933319349,0
