wl,n,k
0.29952,1.547,0.873
0.30097,1.542,0.829
0.30244,1.533,0.781
0.30392,1.517,0.728
0.30542,1.492,0.671
0.30693,1.455,0.612
0.30846,1.404,0.554
0.31,1.338,0.506
0.31156,1.267,0.477
0.31313,1.213,0.455
0.31472,1.145,0.417
0.31633,1.064,0.379
0.31795,0.96,0.361
0.31959,0.853,0.368
0.32124,0.752,0.393
0.32292,0.658,0.434
0.32461,0.574,0.488
0.32632,0.503,0.552
0.32804,0.447,0.621
0.32979,0.404,0.69
0.33155,0.372,0.757
0.33333,0.348,0.819
0.33514,0.329,0.878
0.33696,0.315,0.932
0.3388,0.304,0.983
0.34066,0.295,1.031
0.34254,0.288,1.076
0.34444,0.283,1.118
0.34637,0.278,1.158
0.34831,0.274,1.196
0.35028,0.271,1.232
0.35227,0.268,1.267
0.35429,0.265,1.301
0.35632,0.263,1.333
0.35838,0.26,1.364
0.36047,0.258,1.394
0.36257,0.256,1.423
0.36471,0.253,1.451
0.36686,0.251,1.479
0.36905,0.248,1.506
0.37126,0.245,1.533
0.37349,0.242,1.56
0.37576,0.238,1.586
0.37805,0.235,1.612
0.38037,0.231,1.637
0.38272,0.227,1.663
0.38509,0.222,1.689
0.3875,0.218,1.715
0.38994,0.213,1.74
0.39241,0.208,1.766
0.3949,0.203,1.792
0.39744,0.198,1.819
0.4,0.193,1.845
0.4026,0.188,1.872
0.40523,0.183,1.899
0.40789,0.178,1.927
0.4106,0.173,1.954
0.41333,0.168,1.983
0.41611,0.163,2.011
0.41892,0.158,2.039
0.42177,0.153,2.068
0.42466,0.148,2.098
0.42759,0.144,2.127
0.43056,0.139,2.157
0.43357,0.135,2.187
0.43662,0.131,2.218
0.43972,0.127,2.249
0.44286,0.123,2.28
0.44604,0.12,2.311
0.44928,0.116,2.343
0.45255,0.113,2.375
0.45588,0.11,2.407
0.45926,0.107,2.44
0.46269,0.104,2.473
0.46617,0.101,2.506
0.4697,0.099,2.539
0.47328,0.096,2.573
0.47692,0.094,2.607
0.48062,0.092,2.641
0.48438,0.09,2.676
0.48819,0.088,2.711
0.49206,0.086,2.747
0.496,0.085,2.782
0.5,0.083,2.818
0.50407,0.082,2.855
0.5082,0.08,2.892
0.5124,0.079,2.929
0.51667,0.078,2.967
0.52101,0.077,3.005
0.52542,0.076,3.043
0.52991,0.075,3.082
0.53448,0.074,3.121
0.53913,0.074,3.161
0.54386,0.073,3.202
0.54867,0.072,3.243
0.55357,0.072,3.284
0.55856,0.072,3.326
0.56364,0.071,3.368
0.56881,0.071,3.411
0.57407,0.071,3.455
0.57944,0.071,3.499
0.58491,0.071,3.544
0.59048,0.071,3.59
0.59615,0.071,3.636
0.60194,0.071,3.683
0.60784,0.071,3.73
0.61386,0.071,3.779
0.62,0.071,3.828
0.62626,0.072,3.878
0.63265,0.072,3.929
0.63918,0.073,3.98
0.64583,0.073,4.033
0.65263,0.074,4.086
0.65957,0.074,4.141
0.66667,0.075,4.196
0.67391,0.076,4.253
0.68132,0.076,4.31
0.68889,0.077,4.369
0.69663,0.078,4.428
0.70455,0.079,4.489
0.71264,0.08,4.551
0.72093,0.081,4.615
0.72941,0.083,4.68
0.7381,0.084,4.746
0.74699,0.085,4.813
0.7561,0.087,4.882
0.76543,0.088,4.952
0.775,0.09,5.024
0.78481,0.091,5.098
0.79487,0.093,5.174
0.80519,0.095,5.251
0.81579,0.097,5.33
0.82667,0.099,5.411
0.83784,0.101,5.494
0.84932,0.103,5.579
0.86111,0.106,5.666
0.87324,0.108,5.756
0.88571,0.111,5.847
0.89855,0.113,5.942
0.91176,0.116,6.039
0.92537,0.119,6.138
0.93939,0.122,6.241
0.95385,0.126,6.346
0.96875,0.129,6.455
0.98413,0.133,6.567
1,0.137,6.682
1.0164,0.141,6.801
1.0333,0.145,6.924
1.0508,0.149,7.05
1.069,0.154,7.181
1.0877,0.159,7.316
1.1071,0.165,7.456
1.1273,0.17,7.601
1.1481,0.176,7.75
1.1698,0.182,7.906
1.1923,0.189,8.067
1.2157,0.196,8.234
1.24,0.204,8.407
1.2653,0.212,8.588
1.2917,0.22,8.776
1.3191,0.229,8.971
1.3478,0.239,9.175
1.4419,0.272,9.841
1.4762,0.285,10.084
1.5122,0.298,10.338
1.5398,0.309,10.533
1.55,0.313,10.605
1.5773,0.324,10.798
1.5897,0.329,10.885
1.6166,0.34,11.075
1.6316,0.346,11.18
1.658,0.357,11.366
1.6757,0.365,11.49
1.7015,0.376,11.672
1.7222,0.385,11.817
1.7474,0.396,11.994
1.7714,0.406,12.163
1.7958,0.417,12.334
1.8235,0.43,12.528
1.8469,0.441,12.692
1.8788,0.456,12.915
1.9011,0.467,13.072
1.9375,0.485,13.326
1.9585,0.495,13.473
2,0.516,13.763
2.0195,0.526,13.9
2.0845,0.56,14.353
2.1537,0.597,14.836
2.2277,0.638,15.352
2.307,0.684,15.904
2.3921,0.734,16.496
2.4838,0.791,17.133
2.5827,0.854,17.819
