wl,n,k
0.3,1.565271945,0.152024729
0.305,1.56490471,0.155230156
0.31,1.563072295,0.158199118
0.315,1.564753357,0.16071379
0.32,1.568584468,0.162561701
0.325,1.572415579,0.161945825
0.33,1.57624669,0.158318443
0.335,1.578543856,0.152621237
0.34,1.579534555,0.145161151
0.345,1.578551112,0.137701065
0.35,1.57678816,0.130240979
0.355,1.575025208,0.124062401
0.36,1.573262257,0.118381785
0.365,1.571887193,0.112423907
0.37,1.570962084,0.106401085
0.375,1.571073827,0.098406539
0.38,1.572023606,0.0901936
0.385,1.572973384,0.081302859
0.39,1.573923163,0.072653137
0.395,1.574641641,0.066835639
0.4,1.574501651,0.061554806
0.405,1.573900732,0.058885601
0.41,1.57257621,0.056501683
0.415,1.571251689,0.054927537
0.42,1.569927168,0.053665316
0.425,1.568430894,0.052980904
0.43,1.565835694,0.052145702
0.435,1.562222831,0.051119085
0.44,1.556366324,0.051436377
0.445,1.550509817,0.052942082
0.45,1.54465331,0.055764844
0.455,1.538891785,0.059392225
0.46,1.534670547,0.064381792
0.465,1.530532442,0.069925526
0.47,1.526665024,0.076127019
0.475,1.522797607,0.082492047
0.48,1.518930189,0.088674143
0.485,1.515062772,0.094833847
0.49,1.513174231,0.100255001
0.495,1.511194358,0.105559717
0.5,1.507519619,0.109529304
0.505,1.50384488,0.113399645
0.51,1.500170141,0.116753262
0.515,1.496495403,0.120295981
0.52,1.491265684,0.124402451
0.525,1.485634438,0.12897602
0.53,1.477315455,0.134451312
0.535,1.468996471,0.140457943
0.54,1.460677488,0.147165176
0.545,1.452359027,0.154621744
0.55,1.445154923,0.162766242
0.555,1.437691666,0.17183136
0.56,1.429026258,0.181481563
0.565,1.420360851,0.192428042
0.57,1.411695444,0.203926156
0.575,1.403270014,0.216832795
0.58,1.397078146,0.230110379
0.585,1.390768302,0.244775733
0.59,1.384145695,0.259627464
0.595,1.377523089,0.276344935
0.6,1.370900482,0.294010276
0.605,1.36435194,0.314578409
0.61,1.361444454,0.336776793
0.615,1.360385046,0.360542444
0.62,1.366867663,0.385555592
0.625,1.373350279,0.410521027
0.63,1.379832896,0.433728608
0.635,1.387059048,0.454326421
0.64,1.396104559,0.473611114
0.645,1.405422324,0.488941933
0.65,1.414959439,0.504193817
0.655,1.424496554,0.519045548
0.66,1.43403367,0.534542176
0.665,1.441455117,0.551924709
0.67,1.447216246,0.572004437
0.675,1.460287028,0.594672549
0.68,1.475963975,0.619220925
0.685,1.491640923,0.644105082
0.69,1.509410313,0.667747616
0.695,1.53268624,0.689647265
0.7,1.570534905,0.703968004
0.705,1.615134139,0.716535286
0.71,1.637914803,0.716877492
0.715,1.669207407,0.715747628
0.72,1.70485517,0.705755219
0.725,1.739328364,0.694537539
0.73,1.755024111,0.679275161
0.735,1.766960661,0.66403486
0.74,1.77347366,0.648840923
0.745,1.779986659,0.635397881
0.75,1.786499658,0.624447296
0.755,1.791769455,0.617040326
0.76,1.790283407,0.613139181
0.765,1.789640815,0.613132547
0.77,1.790693048,0.615801753
0.775,1.79174528,0.621975831
0.78,1.792797513,0.629778123
0.785,1.794249556,0.640436769
0.79,1.800405529,0.651934884
0.795,1.80919902,0.664909479
0.8,1.823066411,0.678118623
0.805,1.836933802,0.691719104
0.81,1.850801193,0.70534184
0.815,1.865029789,0.719030071
0.82,1.880079789,0.732690974
0.825,1.908800914,0.746173881
0.83,1.937522038,0.759045856
0.835,1.966100389,0.769791117
0.84,1.989753355,0.778585599
0.845,2.03017431,0.783102715
0.85,2.073549582,0.783866103
0.855,2.110513515,0.779075222
0.86,2.144142109,0.769679471
0.865,2.195301605,0.755554521
0.87,2.239833209,0.736157696
0.875,2.268528295,0.712804567
0.88,2.311011043,0.682916194
0.885,2.353493792,0.641701527
0.89,2.378230036,0.604815649
0.895,2.398689762,0.562597239
0.9,2.417803788,0.521080305
0.905,2.436917815,0.475920025
0.91,2.454770286,0.43133819
0.915,2.457171653,0.387250482
0.92,2.456138475,0.343697115
0.925,2.444930158,0.302561005
0.93,2.433721842,0.263888437
0.935,2.422513526,0.226366359
0.94,2.409556697,0.191607147
0.945,2.394112314,0.165464389
0.95,2.370666672,0.140471195
0.955,2.34722103,0.117235134
0.96,2.325231139,0.097060772
0.965,2.309939918,0.080765358
0.97,2.289062461,0.065801514
0.975,2.264700391,0.055039621
0.98,2.240338321,0.04467707
0.985,2.221367147,0.037832954
0.99,2.205122439,0.031287376
0.995,2.186493749,0.02738623
1,2.167738301,0.023697436
1.005,2.154906973,0.020960898
1.01,2.142808425,0.01
1.015,2.129220437,0.005
1.02,2.115632449,0.0001
1.025,2.102044461,0.0005
1.03,2.090881772,0.00001
1.035,2.082546979,0.000005
1.04,2.077499299,0
1.045,2.074312231,0
1.05,2.071125163,0
1.055,2.069262422,0
1.06,2.067508281,0
1.065,2.065754141,0
1.07,2.064,0
1.075,2.064,0
1.08,2.064,0
1.085,2.064,0
1.09,2.064,0
1.095,2.064,0
1.1,2.064,0
1.105,2.064,0
1.11,2.064,0
1.115,2.064,0
1.12,2.064,0
1.125,2.064,0
1.13,2.064,0
1.135,2.064,0
1.14,2.064,0
1.145,2.064,0
1.15,2.064,0
1.155,2.064,0
1.16,2.064,0
1.165,2.064,0
1.17,2.064,0
1.175,2.064,0
1.18,2.064,0
1.185,2.064,0
1.19,2.064,0
1.195,2.064,0
1.2,2.064,0
1.205,2.064,0
1.21,2.064,0
1.215,2.064,0
