"wl","n","k"
0.3,2.316138221,0.026966471
0.305,2.294103027,0.024940227
0.31,2.2722806,0.023226287
0.315,2.249956462,0.021512348
0.32,2.233127359,0.020126542
0.325,2.216937311,0.018760391
0.33,2.202942238,0.01739424
0.335,2.189132898,0.016283621
0.34,2.17761541,0.015617206
0.345,2.166097922,0.014950791
0.35,2.155811727,0.014284376
0.355,2.14622983,0.013749058
0.36,2.136647934,0.013249247
0.365,2.128325393,0.012749436
0.37,2.120518407,0.012326076
0.375,2.112711421,0.012192793
0.38,2.10537824,0.01205951
0.385,2.099176473,0.011926227
0.39,2.092974706,0.011309909
0.395,2.086772939,0.010410248
0.4,2.081050115,0.009510588
0.405,2.075515205,0.008657694
0.41,2.069980295,0.008657694
0.415,2.064549,0.008657694
0.42,2.059747633,0.008657694
0.425,2.054946265,0.008657694
0.43,2.050144897,0.008657694
0.435,2.045588128,0.008657694
0.44,2.041220217,0.008657694
0.445,2.036852306,0.008657694
0.45,2.032484395,0.008657694
0.455,2.028544454,0.008657694
0.46,2.02461,0.008657694
0.465,2.020675545,0.008657694
0.47,2.016864242,0.008657694
0.475,2.013229873,0.008657694
0.48,2.009595505,0.008682311
0.485,2.005961136,0.008715632
0.49,2.002437923,0.008748953
0.495,1.998936926,0.008771579
0.5,1.995435928,0.008738258
0.505,1.992011895,0.008704937
0.51,1.988810983,0.008671616
0.515,1.985610071,0.008677093
0.52,1.982409159,0.008710414
0.525,1.97918559,0.008743734
0.53,1.975951336,0.008776797
0.535,1.972717081,0.008743476
0.54,1.969499925,0.008710155
0.545,1.966432384,0.008676834
0.55,1.963364844,0.008657694
0.555,1.960297303,0.008657694
0.56,1.957194712,0.008657694
0.565,1.954060486,0.008657694
0.57,1.950926259,0.009448189
0.575,1.947792033,0.010381171
0.58,1.944752699,0.011314152
0.585,1.941718501,0.012014107
0.59,1.938684304,0.012080748
0.595,1.93569968,0.01214739
0.6,1.932798853,0.012214031
0.605,1.929898027,0.012303687
0.61,1.9269972,0.012403649
0.615,1.923884382,0.012503611
0.62,1.920716813,0.01259234
0.625,1.917549244,0.01259234
0.63,1.914447029,0.01259234
0.635,1.911579546,0.01259234
0.64,1.908712062,0.012574544
0.645,1.905844578,0.012541223
0.65,1.902891627,0.012507903
0.655,1.899890772,0.012474582
0.66,1.896889917,0.013110052
0.665,1.893880543,0.013776467
0.67,1.890746316,0.014442883
0.675,1.88761209,0.014895475
0.68,1.884477864,0.014995438
0.685,1.881376108,0.0150954
0.69,1.878308568,0.015195362
0.695,1.875241027,0.015215437
0.7,1.872173486,0.015215437
0.705,1.869045264,0.015215437
0.71,1.865911038,0.015303754
0.715,1.862776812,0.015703603
0.72,1.859620379,0.016103452
0.725,1.856419467,0.016503301
0.73,1.853218555,0.016860328
0.735,1.850017643,0.017193536
0.74,1.846867149,0.017526743
0.745,1.843732922,0.017838534
0.75,1.840598696,0.017838534
0.755,1.837398783,0.017838534
0.76,1.833897785,0.017838534
0.765,1.830396788,0.018081429
0.77,1.82689579,0.018581241
0.775,1.823575486,0.019081052
0.78,1.820374574,0.019580864
0.785,1.817173662,0.019868964
0.79,1.813967712,0.020135531
0.795,1.810566743,0.020402097
0.8,1.807165774,0.020877187
0.805,1.803764805,0.021776847
0.81,1.800304056,0.022676508
0.815,1.796769715,0.023576168
0.82,1.793235375,0.02392525
0.825,1.789701035,0.024091854
0.83,1.786108593,0.024258458
0.835,1.782507567,0.024476874
0.84,1.778906541,0.024943364
0.845,1.775305515,0.025409855
0.85,1.771704489,0.025876346
0.855,1.768103464,0.026223987
0.86,1.764502438,0.026490553
0.865,1.760853574,0.026757119
0.87,1.757185862,0.027028534
0.875,1.753518151,0.027594987
0.88,1.749836395,0.02816144
0.885,1.746068654,0.028727893
0.89,1.742300914,0.029148444
0.895,1.738533174,0.02938169
0.9,1.734803008,0.029614935
0.905,1.731101954,0.02984818
0.91,1.727400899,0.030453765
0.915,1.723699845,0.031120181
0.92,1.719571188,0.031786596
0.925,1.715436676,0.03235929
0.93,1.711302165,0.032692497
0.935,1.70723593,0.033025705
0.94,1.703268133,0.033358913
0.945,1.699300336,0.033762391
0.95,1.695332539,0.03419556
0.955,1.691059374,0.03462873
0.96,1.686724806,0.035095133
0.965,1.682390238,0.035794869
0.97,1.678098286,0.036494605
0.975,1.673930432,0.03719434
0.98,1.669762578,0.03783946
0.985,1.665594724,0.038439234
0.99,1.661313725,0.039039008
0.995,1.656979157,0.039638781
1.,1.652644589,0.040174041
1.005,1.648306629,0.040707174
1.01,1.643938718,0.041240306
1.015,1.639570807,0.041786425
1.02,1.635202896,0.042352878
1.025,1.630695009,0.042919331
1.03,1.626060355,0.043485784
1.035,1.621425701,0.044160392
1.04,1.616791048,0.044860128
1.045,1.612251201,0.045559864
1.05,1.607716576,0.046306215
1.055,1.603181951,0.047205876
1.06,1.598573135,0.048105536
1.065,1.593838452,0.049005197
1.07,1.58910377,0.049817575
1.075,1.584369088,0.050583952
1.08,1.579422641,0.05135033
1.085,1.574421216,0.052126912
1.09,1.569419791,0.053026572
1.095,1.564425599,0.053926233
1.1,1.559457517,0.054825893
1.105,1.554489435,0.055725554
1.11,1.549521353,0.056625214
1.115,1.544403899,0.057524875
1.12,1.539202417,0.058424535
1.125,1.534000935,0.059385504
1.13,1.528793149,0.060351806
1.135,1.523491639,0.061318108
1.14,1.518190128,0.062273025
1.145,1.512888618,0.063206007
1.15,1.507587108,0.064138988
