wl,n,k
0.3,2.218756824,0.425139102
0.305,2.20481564,0.361328428
0.31,2.1865275,0.313922225
0.315,2.166708414,0.261939122
0.32,2.14803842,0.222840668
0.325,2.129837551,0.194745863
0.33,2.11086815,0.17199174
0.335,2.091543708,0.153775272
0.34,2.073940153,0.139809643
0.345,2.061215224,0.125844014
0.35,2.048490295,0.114690594
0.355,2.036430037,0.105491959
0.36,2.026646247,0.096293324
0.365,2.016862457,0.089258934
0.37,2.007078667,0.083799967
0.375,1.999666028,0.078341
0.38,1.992351375,0.073543067
0.385,1.985036721,0.070195683
0.39,1.978966645,0.066848299
0.395,1.973443677,0.063673598
0.4,1.967920708,0.060827826
0.405,1.962848281,0.057982053
0.41,1.95837561,0.055136281
0.415,1.953902939,0.052290509
0.42,1.949581595,0.049686474
0.425,1.946035658,0.047653798
0.43,1.94248972,0.045621121
0.435,1.938943783,0.043602203
0.44,1.935841499,0.042004502
0.445,1.932789819,0.040406801
0.45,1.929738139,0.0388091
0.455,1.927037844,0.037588393
0.46,1.924542205,0.036499308
0.465,1.922046565,0.035410223
0.47,1.919731955,0.03437766
0.475,1.917730573,0.033401554
0.48,1.915729191,0.032425448
0.485,1.913758883,0.031561838
0.49,1.912066412,0.031065246
0.495,1.910373941,0.030568653
0.5,1.908681471,0.030072061
0.505,1.906937417,0.02912919
0.51,1.905183164,0.028172007
0.515,1.903428911,0.027214825
0.52,1.901885672,0.026662721
0.525,1.900502112,0.026281543
0.53,1.899118553,0.025900366
0.535,1.897791258,0.025506229
0.54,1.896593045,0.025095435
0.545,1.895394832,0.024684641
0.55,1.894201301,0.024243237
0.555,1.893126653,0.023654384
0.56,1.892052004,0.023065531
0.565,1.890977356,0.022476678
0.57,1.890141253,0.021877495
0.575,1.889375516,0.021277243
0.58,1.888609778,0.020676991
0.585,1.887750155,0.020460534
0.59,1.886799071,0.020459441
0.595,1.885847987,0.020458349
0.6,1.884926666,0.020169156
0.605,1.884099146,0.019399548
0.61,1.883271627,0.01862994
0.615,1.882444107,0.017897693
0.62,1.881857585,0.017470207
0.625,1.881277195,0.017042721
0.63,1.880696804,0.016615235
0.635,1.880028742,0.01652373
0.64,1.879324787,0.016494547
0.645,1.878620832,0.016465364
0.65,1.877916877,0.016436181
0.655,1.877212922,0.016406998
0.66,1.876508967,0.016377815
0.665,1.875926094,0.016148307
0.67,1.875901743,0.015477422
0.675,1.875877392,0.014806537
0.68,1.875853042,0.014179267
0.685,1.874813928,0.014446255
0.69,1.873677498,0.014713242
0.695,1.872541067,0.014980229
0.7,1.8719641,0.014396607
0.705,1.871692621,0.013574228
0.71,1.871421141,0.012751848
0.715,1.871243852,0.012338087
0.72,1.871219502,0.012308904
0.725,1.871195151,0.012279721
0.73,1.871142266,0.012188965
0.735,1.870870786,0.011912974
0.74,1.870599306,0.011636983
0.745,1.870327827,0.011360991
0.75,1.869531328,0.011768226
0.755,1.868642026,0.012186707
0.76,1.867752724,0.012605189
0.765,1.867224302,0.012557949
0.77,1.866952822,0.01232791
0.775,1.866681343,0.012097871
0.78,1.866488559,0.01195871
0.785,1.866464209,0.011929527
0.79,1.866439858,0.011900344
0.795,1.866415507,0.011982435
0.8,1.866391157,0.012549002
0.805,1.866366806,0.013115569
0.81,1.866342455,0.013682135
0.815,1.866269477,0.013154348
0.82,1.866183344,0.012532825
0.825,1.866097211,0.011911302
0.83,1.865399007,0.012066253
0.835,1.864139012,0.01262941
0.84,1.862879017,0.013192567
0.845,1.861919227,0.013524858
0.85,1.861833094,0.013495675
0.855,1.861746961,0.013466492
0.86,1.861660828,0.013437309
0.865,1.861635863,0.013408126
0.87,1.861611513,0.013378943
0.875,1.861587162,0.01334976
0.88,1.861562812,0.012939227
0.885,1.861538461,0.012465789
0.89,1.86151411,0.011992351
0.895,1.86148976,0.01154615
0.9,1.861465409,0.011118664
0.905,1.861441058,0.010691178
0.91,1.861416708,0.010297095
0.915,1.861392357,0.009971742
0.92,1.861368006,0.00964639
0.925,1.861343656,0.009342245
0.93,1.861319305,0.009362424
0.935,1.861294954,0.009382603
0.94,1.861270604,0.009402781
0.945,1.8605104,0.00942296
0.95,1.859373969,0.009443139
0.955,1.858237538,0.009463318
0.96,1.857443642,0.009300355
0.965,1.857172163,0.008975002
0.97,1.856900683,0.008649649
0.975,1.856661414,0.008454785
0.98,1.856637064,0.008623049
0.985,1.856612713,0.008791313
0.99,1.856588362,0.008959577
0.995,1.856564012,0.008930655
1,1.856539661,0.008901472
1.005,1.856515311,0.008872289
1.01,1.85649096,0.008843106
1.015,1.856466609,0.008813923
1.02,1.856442259,0.00878474
1.025,1.856417908,0.008594081
1.03,1.856393557,0.008219366
1.035,1.856369207,0.007844651
1.04,1.856344856,0.007609292
1.045,1.856320505,0.007925641
1.05,1.856296155,0.00824199
1.055,1.856271804,0.008558339
1.06,1.856247453,0.008874688
1.065,1.856223103,0.009191037
1.07,1.856198752,0.009507386
1.075,1.856174401,0.009360512
1.08,1.856150051,0.008985797
1.085,1.8561257,0.008611083
1.09,1.856101349,0.008216395
1.095,1.856076999,0.007792319
1.1,1.856052648,0.007368242
1.105,1.856028298,0.00705391
1.11,1.856003947,0.007419621
1.115,1.855979596,0.007785331
1.12,1.855955246,0.008151042
1.125,1.855428487,0.0081719
