wl,n
0.30141754,1.5393475
0.30301373,1.5388672
0.30461,1.5383986
0.30620624,1.5379409
0.30780255,1.5374932
0.30939886,1.5370549
0.31099524,1.5366249
0.3125916,1.5362023
0.31418805,1.5357865
0.3157845,1.5353765
0.31738095,1.5349717
0.31897748,1.5345715
0.32057397,1.5341754
0.32217053,1.5337826
0.32376712,1.5333928
0.3253637,1.5330058
0.32696036,1.5326219
0.328557,1.5322407
0.3301537,1.5318627
0.3317504,1.5314878
0.3333471,1.5311162
0.33494388,1.5307482
0.33654065,1.5303841
0.33813745,1.5300242
0.33973428,1.5296687
0.34133112,1.5293179
0.34292798,1.528972
0.34452487,1.5286312
0.34612177,1.5282958
0.34771872,1.5279658
0.34931567,1.5276414
0.35091266,1.5273229
0.3525096,1.52701
0.35410663,1.5267028
0.35570367,1.5264012
0.35730072,1.5261049
0.35889777,1.525814
0.36049484,1.5255284
0.36209198,1.5252479
0.36368906,1.5249722
0.3652862,1.5247012
0.36688336,1.5244347
0.36848053,1.5241723
0.3700777,1.523914
0.3716749,1.5236596
0.37327213,1.5234088
0.37486932,1.5231614
0.37646658,1.5229174
0.37806384,1.5226766
0.3796611,1.5224388
0.38125836,1.5222038
0.38285568,1.5219716
0.38445297,1.5217419
0.3860503,1.5215149
0.38764764,1.5212903
0.38924496,1.5210681
0.39084235,1.5208484
0.3924397,1.520631
0.39403705,1.5204159
0.39563446,1.520203
0.39723184,1.5199925
0.39882922,1.519784
0.40042664,1.5195779
0.40202405,1.519374
0.4036215,1.5191723
0.40521893,1.518973
0.40681635,1.5187758
0.4084138,1.5185809
0.41001123,1.5183882
0.4116087,1.5181978
0.4132062,1.5180095
0.41480365,1.5178236
0.41640112,1.5176399
0.4179986,1.5174583
0.4195961,1.5172789
0.42119354,1.5171019
0.42279108,1.5169269
0.42438858,1.5167542
0.42598602,1.5165834
0.42758356,1.5164149
0.42918106,1.5162483
0.43077856,1.5160838
0.43237607,1.5159214
0.43397357,1.5157608
0.43557104,1.5156021
0.43716855,1.5154452
0.43876605,1.5152904
0.4403636,1.5151372
0.4419611,1.5149857
0.4435586,1.514836
0.4451561,1.5146878
0.44675357,1.5145413
0.44835107,1.5143962
0.44994858,1.5142527
0.45154605,1.5141106
0.45314355,1.5139698
0.45474103,1.5138304
0.45633853,1.5136924
0.45793597,1.5135556
0.45953345,1.5134201
0.46113092,1.5132859
0.46272836,1.5131527
0.46432584,1.5130206
0.46592328,1.5128897
0.4675207,1.5127599
0.4691181,1.512631
0.47071558,1.5125033
0.472313,1.5123764
0.4739104,1.5122505
0.47550775,1.5121257
0.47710516,1.5120018
0.47870255,1.5118788
0.4802999,1.5117568
0.48189728,1.5116357
0.48349463,1.5115155
0.48509195,1.5113962
0.4866893,1.5112778
0.48828662,1.5111604
0.48988388,1.5110437
0.4914812,1.5109279
0.49307846,1.5108131
0.49467572,1.5106992
0.496273,1.5105861
0.4978702,1.5104741
0.49946744,1.5103629
0.50106464,1.5102526
0.50266187,1.5101433
0.50425903,1.5100349
0.5058562,1.5099275
0.5074533,1.5098209
0.50905048,1.5097154
0.5106476,1.5096108
0.5122447,1.5095071
0.51384174,1.5094044
0.51543884,1.5093026
0.5170359,1.5092019
0.51863293,1.509102
0.52022986,1.5090032
0.52182684,1.5089053
0.5234238,1.5088083
0.5250208,1.5087123
0.52661774,1.5086173
0.5282146,1.5085232
0.5298115,1.5084301
0.5314083,1.508338
0.5330052,1.5082468
0.534602,1.5081565
0.53619885,1.5080673
0.53779553,1.5079788
0.53939233,1.5078913
0.5409891,1.5078046
0.54258575,1.5077188
0.54418243,1.5076339
0.54577905,1.5075499
0.5473757,1.5074667
0.5489723,1.5073842
0.5505689,1.5073026
0.5521654,1.5072218
0.5537619,1.5071418
0.55535846,1.5070626
0.5569549,1.5069841
0.55855133,1.5069064
0.56014777,1.5068294
0.56174414,1.506753
0.56334045,1.5066773
0.5649368,1.5066023
0.5665331,1.5065278
0.56812933,1.506454
0.5697256,1.5063808
0.5713218,1.5063081
0.57291797,1.5062358
0.5745141,1.5061642
0.5761102,1.5060931
0.57770624,1.5060225
0.5793023,1.5059522
0.5808983,1.5058825
0.58249426,1.5058132
0.5840902,1.5057443
0.58568616,1.5056759
0.58728204,1.5056078
0.5888778,1.5055401
0.59047363,1.5054728
0.59206946,1.5054057
0.59366516,1.505339
0.59526086,1.5052726
0.5968565,1.5052066
0.59845215,1.5051408
0.6000477,1.5050753
0.60164325,1.5050101
0.6032388,1.5049452
0.6048342,1.5048804
0.6064296,1.5048159
0.608025,1.5047517
0.6096204,1.5046875
0.6112157,1.5046238
0.612811,1.5045601
0.6144062,1.5044967
0.6160014,1.5044334
0.61759656,1.5043703
0.61919165,1.5043075
0.62078674,1.5042448
0.6223817,1.5041823
0.6239767,1.5041201
0.62557166,1.504058
0.62716656,1.5039961
0.62876135,1.5039344
0.6303562,1.5038728
0.6319509,1.5038115
0.63354565,1.5037502
0.6351403,1.5036892
0.6367349,1.5036284
0.63832947,1.5035676
0.639924,1.5035071
0.6415185,1.5034467
0.6431129,1.5033865
0.64470734,1.5033265
0.64630164,1.5032667
0.64789594,1.5032071
0.6494902,1.5031476
0.65108435,1.5030884
0.6526785,1.5030293
0.6542726,1.5029706
0.65586664,1.5029119
0.65746063,1.5028536
0.65905457,1.5027955
0.6606485,1.5027376
0.6622423,1.50268
0.66383606,1.5026226
0.6654298,1.5025655
0.6670235,1.5025085
0.66861707,1.5024519
0.6702107,1.5023956
0.6718042,1.5023395
0.67339764,1.5022837
0.6749911,1.5022281
0.6765844,1.502173
0.67817773,1.502118
0.67977094,1.5020633
0.68136414,1.5020089
0.6829573,1.5019548
0.68455035,1.501901
0.6861434,1.5018475
0.68773627,1.5017943
0.6893292,1.5017414
0.690922,1.5016888
0.6925148,1.5016366
0.69410754,1.5015846
0.6957002,1.501533
0.6972928,1.5014818
0.6988854,1.5014307
